Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
figures ^nns++++=figures
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
low ^jj+atrb+++=low
seasonality ^nn+nom+++=seasonality
social ^jj+atrb+++=social
group ^nn++++=group
for ^in++++=for
each ^dt++++=each
sociodemographic ^jj+atrb+++=sociodemographic
factor ^nn++++=factor
is ^vbz+bez+vrb++=is
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
give ^vbi++++=give
birth ^nn++++=birth
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
and ^cc++++=and
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to
give ^vbi++++=give
birth ^nn++++=birth
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
( ^zz++++=(Figures
figures ^nns++++=EXTRAWORD
2 ^zz++++=2
8 ^zz++++=8
) ^zz++++=).
. ^zz++++=EXTRAWORD
