Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
higher ^jjr++++=higher
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
the ^ati++++=the
pen ^nn++++=pen
on ^in++++=on
the ^ati++++=the
screen ^nn++++=screen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr++++=lower
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
drawing ^xvbg+++xvbg+=drawing.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
the ^ati++++=the
tablet ^nn++++=tablet
test ^nn++++=test,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
strong ^jj+atrb+++=strong
differences ^nns++++=differences
by ^in++++=by
gender ^nn++++=gender
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
Tpb ^np+++??+=TPB
and ^cc++++=and
Tpf ^np+++??+=TPF
( ^zz++++=(
Q ^zz++++=Q
1,188 ^cd++++=1,188
= ^zz++++==
23.50 ^cd++++=23.50,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
partial ^jj++++=partial
2 ^zz++++=2
= ^zz++++==
. ^zz++++=.239;
239 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Q ^zz++++=Q
1,165 ^cd++++=1,165
= ^zz++++==
59.52 ^cd++++=59.52,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
partial ^jj++++=partial
2 ^zz++++=2
= ^zz++++==
. ^zz++++=.376).
376 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
gender ^nn++++=gender
age ^nn++++=age
interaction ^nn++++=interaction
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
significant ^jj++++=significant
( ^zz++++=(
p ^zz++++=p
= ^zz++++==
. ^zz++++=.127
127 ^cd++++=EXTRAWORD
and ^cc++++=and
p ^zz++++=p
= ^zz++++==
. ^zz++++=.323,
323 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
