Exploratory ^jj+atrb+++=Exploratory
data ^nns++++=data
analysis ^nn++++=analysis
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
outliers ^nns+nom+++=outliers
in ^in++++=in
the ^ati++++=the
predictors ^nns++++=predictors
of ^in++++=of
interest ^nn++++=interest
( ^zz++++=(P1-3)
p1 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
influence ^nn+nom+++=influence
model ^nn++++=model
fit ^nn++++=fit.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
assessed ^vbd+++xvbn+=assessed
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
these ^dt+dem+++=these
individual ^jj+atrb+++=individual
points ^nns++++=points
on ^in++++=on
model ^nn++++=model
fit ^nn++++=fit
for ^in++++=for
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
models ^nns++++=models
described ^vbd+++xvbn+=described
in ^in++++=in
Section ^nn+nom+++=Section
2.4.1 ^cd++++=2.4.1
. ^zz++++=.
Two ^cd++++=Two
influential ^jj+atrb+++=influential
outliers ^nns+nom+++=outliers
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
when ^wrb+who+++=when
fitting ^vbg+++xvbg+=fitting
the ^ati++++=the
drought ^nn++++=drought
model ^nn++++=model
for ^in++++=for
( ^zz++++=(P1);
p1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
outliers ^nns+nom+++=outliers
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
influential ^jj++++=influential
in ^in++++=in
the ^ati++++=the
fits ^nn++++=fits
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
four ^cd++++=four
models ^nns++++=models
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
were ^vbd+bed+aux++=were
not ^xnot++not++=not
excluded ^vbd+++xvbn+=excluded
from ^in++++=from
the ^ati++++=the
fitting ^jj+atrb++xvbg+=fitting
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
( ^zz++++=(See
see ^vb+vprv+++=EXTRAWORD
supporting ^jj+atrb+++=Supporting
information ^nn+nom+++=Information
3.4 ^cd++++=3.4
for ^in++++=for
further ^jjb+atrb+++=further
details ^nns++++=details.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
