Linear ^jj+atrb+++=Linear
regression ^nn++++=regression
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
determine ^vb++++=determine
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
Adjbw ^np+++??+=AdjBW
and ^cc++++=and
either ^dtx++++=either
min ^nnu++++=min
of ^in++++=of
Mvpa ^np+++??+=MVPA
or ^cc++++=or
Sed ^np+++??+=SED
per ^nnu++++=per
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
covariates ^nns+nom+++=covariates
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered
for ^in++++=for
inclusion ^nn++++=inclusion
in ^in++++=in
the ^ati++++=the
regression ^nn++++=regression
models ^nns++++=models,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including:
: ^zz++++=EXTRAWORD
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
lean ^vb++++=lean
body ^nn++++=body
mass ^nn++++=mass,
, ^zz++++=EXTRAWORD
body ^nn++++=body
fat ^nn++++=fat
percentage ^nn+nom+++=percentage,
, ^zz++++=EXTRAWORD
aerobic ^jj+atrb+++=aerobic
fitness ^nns+nom+++=fitness
level ^nn++++=level,
, ^zz++++=EXTRAWORD
( ^zz++++=(accelerometer)
accelerometer ^jjr++++=EXTRAWORD
) ^zz++++=EXTRAWORD
wake ^vb++++=wake
wear ^vb++++=wear
time ^nn++++=time
( ^zz++++=(the
the ^ati++++=EXTRAWORD
amount ^nn++++=amount
of ^in++++=of
time ^nn++++=time
the ^ati++++=the
accelerometer ^jjr++++=accelerometer
was ^vbd+bedz+aux++=was
worn ^vpsv++agls+xvbnx+=worn
while ^cs+sub+++=while
the ^ati++++=the
participant ^nn+nom+++=participant
was ^vbd+bedz+vrb++=was
awake ^jj+pred+++=awake),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
maternal ^jj+atrb+++=maternal
smoking ^nvbg+++xvbg+=smoking.
. ^zz++++=EXTRAWORD
The ^ati++++=The
model ^nn++++=model
for ^in++++=for
Mvpa ^np+++??+=MVPA
included ^vbd+++xvbn+=included
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
body ^nn++++=body
fat ^nn++++=fat
percentage ^nn+nom+++=percentage,
, ^zz++++=EXTRAWORD
Vo ^np+++??+=VO
2max ^cd++++=2max
, ^zz++++=,
accelerometer ^jjr+atrb+++=accelerometer
wear ^nn++++=wear
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
interaction ^nn+nom+++=interaction
term ^nn++++=term
for ^in++++=for
Adjbw ^np+++??+=AdjBW
with ^in++++=with
age ^nn++++=age.
. ^zz++++=EXTRAWORD
The ^ati++++=The
model ^nn++++=model
for ^in++++=for
Sed ^np+++??+=SED
included ^vbd+++xvbn+=included
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
body ^nn++++=body
fat ^nn++++=fat
percentage ^nn+nom+++=percentage,
, ^zz++++=EXTRAWORD
Vo ^np+++??+=VO
2max ^cd++++=2max
, ^zz++++=,
accelerometer ^jjr+atrb+++=accelerometer
wear ^nn++++=wear
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
interaction ^nn+nom+++=interaction
term ^nn++++=term
for ^in++++=for
Adjbw ^np+++??+=AdjBW
with ^in++++=with
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
Interactions ^nns+nom++??+=Interactions
between ^in++++=between
Adjbw ^np+++??+=AdjBW
and ^cc++++=and
all ^abn++++=all
covariates ^nns+nom+++=covariates
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested.
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
interaction ^nn+nom+++=interaction
between ^in++++=between
Adjbw ^np+++??+=AdjBW
and ^cc++++=and
age ^nn++++=age,
, ^zz++++=EXTRAWORD
a ^at++++=a
separate ^jj+atrb+++=separate
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
performed ^vpsv++by+xvbnx+=performed
by ^in++++=by
splitting ^xvbg+++xvbg+=splitting
the ^ati++++=the
participants ^nns+nom+++=participants
into ^in++++=into
two ^cd++++=two
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
as ^ql++++=as
equally ^rb++++=equally
as ^in++++=as
possible ^jj++++=possible:
: ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
18 ^cd++++=18
21 ^cd++++=21
years ^nns++++=years
old ^jj++++=old
( ^zz++++=(
N ^zz++++=N
= ^zz++++==
42 ^cd++++=42)
) ^zz++++=EXTRAWORD
and ^cc++++=and
participants ^nns+nom+++=participants
22 ^cd++++=22
40 ^cd++++=40
years ^nns++++=years
old ^jj++++=old
( ^zz++++=(
N ^zz++++=N
= ^zz++++==
33 ^cd++++=33).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Significance ^nn+nom+++=Significance
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbn+=set
at ^rb++++=at
p ^zz++++=p
. ^zz++++=.05
05 ^nn++++=EXTRAWORD
for ^in++++=for
main ^jjb+atrb+++=main
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
