Like ^in++++=Like
Rna ^np+++??+=RNA,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
also ^rb++++=also
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
extract ^vbi++++=extract
Dna ^np+++??+=DNA
from ^in++++=from
Dbs ^np+++??+=DBS
for ^in++++=for
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in++++=to
genotyping ^nvbg+++xvbg+=genotyping,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
several ^ap++++=several
assays ^nns+++??+=assays
of ^in++++=of
interest ^nn++++=interest
when ^wrb+who+++=when
measuring ^nvbg+++xvbg+=measuring
immune ^jj+atrb+++=immune
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
T ^zz++++=T
cells ^nns++++=cells
mature ^jj++++=mature,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
undergo ^vb++++=undergo
a ^at++++=a
process ^nns+nom+++=process
wherein ^wrb+who+++=wherein
the ^ati++++=the
Dna ^np+++??+=DNA
coding ^vwbg+++xvbg+=coding
for ^in++++=for
the ^ati++++=the
T ^zz++++=T-cell
- ^zz++++=EXTRAWORD
cell ^nn++++=EXTRAWORD
receptor ^nn++++=receptor
is ^vbz+bez+aux++=is
randomly ^rb++splt++=randomly
rearranged ^vpsv++agls+xvbnx+=rearranged
to ^to++++=to
create ^vbi++++=create
a ^at++++=a
unique ^jj+atrb+++=unique
receptor ^nn++++=receptor
for ^in++++=for
each ^ppls++++=each
T ^zz++++=T
cell ^nn++++=cell
lineage ^nn+nom+++=lineage.
. ^zz++++=EXTRAWORD
Leftover ^np+nom++??+=Leftover
Dna ^np+++??+=DNA
from ^in++++=from
this ^dt+dem+++=this
process ^nns+nom+++=process
is ^vbz+bez+aux++=is
excised ^vpsv++agls+xvbnx+=excised
from ^in++++=from
the ^ati++++=the
T ^zz++++=T
cell ^nn++++=cell
receptor ^nn++++=receptor
arrangement ^nn+nom+++=arrangement
and ^cc++++=and
circularized ^vpsv++agls+xvbn+=circularized
into ^in++++=into
Dna ^np+++??+=DNA
molecules ^nns++++=molecules
called ^vbd+++xvbn+=called
signal ^nn++++=signal
joint ^jjb++++=joint
Tcr ^np+++??+=TCR
excision ^nn++++=excision
circles ^nns++++=circles
( ^zz++++=(sjTRECs).
sjtrecs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
T ^zz++++=T
cells ^nns++++=cells
leave ^vb++++=leave
the ^ati++++=the
thymus ^nns+++??+=thymus
with ^in++++=with
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
sjtrec ^nn+++??+=sjTREC
molecules ^nns++++=molecules,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
