Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
studies ^nns++++=studies
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
illuminate ^vbi++++=illuminate
how ^wrb+who+++=how
adrenarcheal ^jj+atrb++??+=adrenarcheal
variation ^nn++++=variation
relates ^vbz++++=relates
to ^in++++=to
developmental ^jj+atrb++??+=developmental
plasticity ^nn++++=plasticity,
, ^zz++++=EXTRAWORD
body ^nn++++=body
composition ^nn++++=composition,
, ^zz++++=EXTRAWORD
pubertal ^nn+++??+=pubertal
progression ^nn++++=progression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
animal ^nn++++=animal
product ^nn++++=product
consumption ^nn++++=consumption
in ^in++++=in
other ^ap++++=other
transitional ^jj+atrb+++=transitional
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
