Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
results ^nns++++=results
agree ^vb+vpub+++=agree
with ^in++++=with
the ^ati++++=the
thrifty ^jj+atrb+++=thrifty
phenotype ^nn+++??+=phenotype
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
metacarpal ^nn+nom+++=metacarpal
and ^cc++++=and
sitting ^jj+atrb++xvbg+=sitting
height ^nn++++=height
growth ^nn++++=growth
would ^md+prd+++=would
be ^vb+be+aux++=be
prioritized ^vpsv++agls+xvbnx+=prioritized
over ^in++++=over
height ^nn++++=height
and ^cc++++=and
leg ^nn++++=leg
length ^nn++++=length
due ^jj++++=due
to ^in+jcmp+++=to
greater ^jjr+atrb+++=greater
functional ^jj+atrb+++=functional
significance ^nn+nom+++=significance.
. ^zz++++=EXTRAWORD
