Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
algorithm ^nn+++??+=algorithm
accurately ^rb++++=accurately
measures ^nns++++=measures
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
field ^nn++++=field-collected
- ^zz++++=EXTRAWORD
collected ^vbd+++xvbn+=EXTRAWORD
Dbs ^np+++??+=DBS
in ^in++++=in
an ^at++++=an
automated ^jj+atrb++xvbn+=automated
way ^nn++++=way.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
methodology ^nn++++=methodology
can ^md+pos+++=can
be ^vb+be+aux++=be
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
surveys ^nns++++=surveys
even ^rb++++=even
with ^in++++=with
very ^ql+amp+++=very
large ^jj+atrb+++=large
numbers ^nns+nom+++=numbers
of ^in++++=of
observations ^nns+nom+++=observations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
measured ^jj+atrb++xvbn+=measured
spot ^nn++++=spot
sizes ^nns++++=sizes
improve ^vb++++=improve
the ^ati++++=the
accuracy ^nn+nom+++=accuracy
of ^in++++=of
conversion ^nn++++=conversion
formulae ^nns++++=formulae
that ^tht+rel+subj++=that
translate ^nn+nom+++=translate
blood ^nn++++=blood
marker ^nn++++=marker
values ^nns++++=values
derived ^vbd+++xvbn+=derived
from ^in++++=from
Dbs ^np+++??+=DBS
into ^in++++=into
venous ^jj+atrb+++=venous
blood ^nn++++=blood
values ^nns++++=values.
. ^zz++++=EXTRAWORD
The ^ati++++=The
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
spot ^nn++++=spot-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
effects ^nns++++=effects
on ^in++++=on
biomarkers ^nns+nom+++=biomarkers
in ^in++++=in
Dbs ^np+++??+=DBS
should ^md+nec+++=should
also ^rb++splt++=also
incentivize ^vb++++=incentivize
the ^ati++++=the
improvement ^nn+nom+++=improvement
of ^in++++=of
fieldwork ^nn++++=fieldwork
training ^nn++++=training
and ^cc++++=and
monitoring ^nn++++=monitoring.
. ^zz++++=EXTRAWORD
