Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Another ^dt++++=Another
function ^nn+nom+++=function
of ^in++++=of
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
relationships ^nns+nom+++=relationships
is ^vbz+bez+vrb++=is
to ^in++++=to
access ^nn++++=access
resources ^nns++++=resources
that ^tht+rel+subj++=that
can ^md+pos+++=can
never ^rb++++=never
be ^vb+be+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained
locally ^rb+pl+++=locally;
; ^zz++++=EXTRAWORD
ethnographic ^jj+atrb+++=ethnographic
data ^nns++++=data
suggest ^vb+vpub+tht0++=suggest
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
primary ^jj+atrb+++=primary
function ^nn+nom+++=function
in ^in++++=in
rural ^jj+atrb+++=rural
Bolivia ^np+++??+=Bolivia.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
conclude ^vb+vprv+++=conclude
by ^in++++=by
refining ^xvbg+++xvbg+=refining
our ^pp$+pp1+++=our
predictions ^nns+nom+++=predictions
about ^in++++=about
the ^ati++++=the
conditions ^nns+nom+++=conditions
under ^in++++=under
which ^whp+rel+pied++=which
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
relationships ^nns+nom+++=relationships
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
help ^vbi++++=help
individuals ^nns+nom+++=individuals
manage ^vb++++=manage
the ^ati++++=the
risks ^nns++++=risks
posed ^vbd+++xvbn+=posed
by ^in++++=by
climate ^nn+nom+++=climate
variability ^nn+nom+++=variability.
. ^zz++++=EXTRAWORD
