Figure ^nn++++=Figure
1 ^zz++++=1
shows ^nns++++=shows
violin ^nn++++=violin
plots ^nns++++=plots
of ^in++++=of
transformed ^vbd+++xvbn+=transformed
hormone ^nn+++??+=hormone
values ^nns++++=values
for ^in++++=for
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
handedness ^nns+++??+=handedness.
. ^zz++++=EXTRAWORD
Separate ^vb++++=Separate
plots ^nns++++=plots
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given
for ^in++++=for
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
and ^cc++++=and
for ^in++++=for
both ^abx++++=both
T ^zz++++=T
and ^cc++++=and
E ^zz++++=E.
. ^zz++++=EXTRAWORD
In ^in++++=In
men ^nns++++=men,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
( ^zz++++=(posterior
posterior ^jj+atrb+++=EXTRAWORD
median ^jjb+atrb+++=median
= ^zz++++==
0.07 ^nn+++??+=0.07,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Hdi ^np+++??+=HDI
= ^zz++++==
0.03 ^nn+++??+=0.03
to ^in++++=to
0.17 ^nn+++??+=0.17),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
mixed ^jj+++xvbn+=mixed-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
( ^zz++++=(median
median ^jjb+atrb+++=EXTRAWORD
= ^zz++++==
0.07 ^nn+++??+=0.07,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Hdi ^np+++??+=HDI
= ^zz++++==
0.07 ^nn+++??+=0.07
to ^in++++=to
0.20 ^nn+++??+=0.20)
) ^zz++++=EXTRAWORD
showed ^vbd+vprv++xvbn+=showed
T ^zz++++=T
levels ^nns++++=levels
significantly ^rb++++=significantly
different ^jj++++=different
from ^in++++=from
right ^jj++++=right-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
as ^ql++++=as
all ^abn++++=all
credibility ^nn+++??+=credibility
intervals ^nns++++=intervals
contained ^vbd+++xvbn+=contained
0 ^zz++++=0.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
in ^in++++=in
women ^nns++++=women,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
left ^vbd+++xvbn+=left-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
( ^zz++++=(median
median ^jjb+atrb+++=EXTRAWORD
= ^zz++++==
0.01 ^nn+++??+=0.01,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Hdi ^np+++??+=HDI
= ^zz++++==
0.13 ^nn+++??+=0.13
to ^in++++=to
0.17 ^nn+++??+=0.17)
) ^zz++++=EXTRAWORD
nor ^cc++neg++=nor
mixed ^jj+++xvbn+=mixed-handers
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
( ^zz++++=(median
median ^jjb+atrb+++=EXTRAWORD
= ^zz++++==
0.01 ^nn+++??+=0.01,
, ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Hdi ^np+++??+=HDI
= ^zz++++==
0.26 ^nn+++??+=0.26
to ^in++++=to
0.32 ^nn+++??+=0.32)
) ^zz++++=EXTRAWORD
showed ^vbd+vprv++xvbn+=showed
T ^zz++++=T
levels ^nns++++=levels
significantly ^rb++++=significantly
different ^jj++++=different
from ^in++++=from
right ^jj++++=right-handers.
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Excluding ^vbg+++xvbg+=Excluding
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
testosterone ^nn+++??+=testosterone
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
( ^zz++++=(2350
2350 ^cd++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
1170 ^cd++++=1170
women ^nns++++=women
excluded ^vwbn+++xvbn+=excluded),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
change ^vb++++=change
the ^ati++++=the
results ^nns++++=results
qualitatively ^rb++++=qualitatively
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
hdis ^np++++=HDIs
still ^rb++++=still
contained ^vbd+++xvbn+=contained
0 ^zz++++=0).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
