Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
studied ^vbd+++xvbn+=studied
the ^ati++++=the
crude ^jj+atrb+++=crude
and ^cc+phrs+++=and
adjusted ^jj+atrb++xvbn+=adjusted
associations ^nns+nom+++=associations
between ^in++++=between
sociodemographic ^jj+atrb+++=sociodemographic
variables ^nns++++=variables
and ^cc++++=and
birth ^nn++++=birth
seasonality ^nn+nom+++=seasonality
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
3 ^zz++++=3
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
multivariate ^nn+nom+++=multivariate
logistic ^jj+atrb+++=logistic
regression ^nn++++=regression
model ^nn++++=model
for ^in++++=for
period ^nn++++=period
2016 ^cd++++=2016
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
all ^abn++++=all
variables ^nns++++=variables
except ^in++++=except
3 ^zz++++=3
rd ^npl++++=rd
and ^cc++++=and
4 ^zz++++=4
th ^zz++++=th
birth ^nn++++=birth
order ^to++++=order
and ^cc++++=and
medium ^jjb+atrb+++=medium
maternal ^jj+atrb+++=maternal
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
significantly ^rb++splt++=significantly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
seasonality ^nn+nom+++=seasonality
when ^wrb+who+++=when
simultaneously ^rb+tm+++=simultaneously
entered ^vbd+++xvbn+=entered
in ^in++++=in
one ^cd1++++=one
model ^nn++++=model.
. ^zz++++=EXTRAWORD
The ^ati++++=The
multivariate ^nn+nom+++=multivariate
logistic ^jj+atrb+++=logistic
regression ^nn++++=regression
model ^nn++++=model
for ^in++++=for
period ^nn++++=period
2018 ^cd++++=2018
2019 ^cd++++=2019
shows ^nns++++=shows
similar ^jj+atrb+++=similar
results ^nns++++=results
but ^cc++++=but,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
variable ^jj+atrb+++=variable
maternal ^jj+atrb+++=maternal
employment ^nn+nom+++=employment
status ^nn++++=status
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
highest ^jjt+atrb+++=highest
odds ^nns++++=odds
ratio ^nn++++=ratio,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maternal ^jj+atrb+++=maternal
age ^nn++++=age
variable ^nn++++=variable
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
significant ^jj++++=significant.
. ^zz++++=EXTRAWORD
