Both ^abx++++=Both
cesarean ^jj+atrb+++=cesarean
section ^nn+nom+++=section
and ^cc++++=and
obstructed ^vbd+++xvbn+=obstructed
labor ^nn++++=labor
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
occur ^vbi++++=occur
among ^in++++=among
mothers ^nns+nom+++=mothers
of ^in++++=of
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^in++++=to
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
association ^nn+nom+++=association
was ^vbd+bedz+vrb++=was
weaker ^jjr+pred+++=weaker
for ^in++++=for
episiotomy ^nn+++??+=episiotomy
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
achieve ^vb++++=achieve
significance ^nn+nom+++=significance.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
of ^in++++=of
risk ^vb++++=risk
may ^md+pos+++=may
relate ^vb++++=relate
to ^in++++=to
the ^ati++++=the
larger ^jjr+atrb+++=larger
average ^jj+atrb+++=average
birth ^nn++++=birth
size ^nn++++=size
of ^in++++=of
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
other ^ap++++=other
studies ^nns++++=studies
( ^zz++++=(Lieberman
lieberman ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997
; ^zz++++=;
Wells ^np++++=Wells
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
associations ^nns+nom+++=associations
with ^in++++=with
sex ^nn++++=sex
lost ^vbd+++xvbn+=lost
significance ^nn+nom+++=significance
when ^wrb+who+++=when
birth ^nn++++=birth
size ^nn++++=size
was ^vbd+bedz+aux++=was
entered ^vpsv++agls+xvbnx+=entered
in ^in++++=in
the ^ati++++=the
model ^nn++++=model
for ^in++++=for
cesarean ^jj+atrb+++=cesarean
delivery ^nn+nom+++=delivery,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
case ^nn++++=case
for ^in++++=for
obstructed ^vbd+++xvbn+=obstructed
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
possible ^jj+atrb+++=possible
explanation ^nn+nom+++=explanation
could ^md+pos+++=could
be ^vb+be+vrb++=be
a ^at++++=a
socio ^nn+++??+=socio-cultural
- ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=EXTRAWORD
preference ^nn+nom+++=preference
for ^in++++=for
different ^jj+atrb+++=different
surgical ^jj+atrb+++=surgical
interventions ^nns+nom+++=interventions
depending ^vwbg+++xvbg+=depending
on ^in++++=on
the ^ati++++=the
sex ^nn++++=sex
of ^in++++=of
the ^ati++++=the
child ^nn++++=child,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
lack ^nn++++=lack
evidence ^nn+nom+++=evidence
to ^to++++=to
confirm ^vbi+vpub+++=confirm
this ^dt+dem+++=this
hypothesis ^nn++++=hypothesis.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
sex ^nn++++=sex
determination ^nn+nom+++=determination
during ^in++++=during
pregnancy ^nn++++=pregnancy
is ^vbz+bez+vrb++=is
illegal ^jj+pred+++=illegal
in ^in++++=in
Nepal ^np++++=Nepal,
, ^zz++++=EXTRAWORD
many ^ap++++=many
mothers ^nns+nom+++=mothers
nevertheless ^rb+cnj+++=nevertheless
do ^vb+do+aux++=do
determine ^vb++++=determine
the ^ati++++=the
sex ^nn++++=sex
of ^in++++=of
the ^ati++++=the
fetus ^nns+++??+=fetus
and ^cc++++=and
sex ^nn++++=sex-selective
- ^zz++++=EXTRAWORD
selective ^jj+atrb+++=EXTRAWORD
abortion ^nn+nom+++=abortion
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
more ^rbr++++=more
common ^jj++++=common
( ^zz++++=(Frost
frost ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
Males ^nns++++=Males
are ^vb+ber+vrb++=are
also ^rb++++=also
more ^rbr++++=more
prone ^jj++++=prone
to ^in+jcmp+++=to
fetal ^jj+atrb+++=fetal
distress ^nns+nom+++=distress
( ^zz++++=(Bekedam
bekedam ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
) ^zz++++=),
, ^zz++++=EXTRAWORD
hence ^rb+cnj+++=hence
interventions ^nns+nom+++=interventions
might ^md+pos+++=might
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
earlier ^jjr++++=earlier
during ^in++++=during
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
the ^ati++++=the
sex ^nn++++=sex
of ^in++++=of
the ^ati++++=the
offspring ^nn++++=offspring
is ^vbz+bez+aux++=is
not ^xnot++not++=not
yet ^rb++++=yet
known ^vwbn+vprv++xvbn+=known.
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
may ^md+pos+++=may
lack ^vb++++=lack
relevant ^jj+atrb+++=relevant
