Most ^ql+emph+++=Most
prior ^jj+atrb+++=prior
work ^nn++++=work
assessing ^vwbg+++xvbg+=assessing
changes ^nns++++=changes
to ^in++++=to
body ^nn++++=body
composition ^nn++++=composition
in ^in++++=in
similar ^jj++++=similar
but ^cc++++=but
non ^&fw++++=non-NOLS
- ^zz++++=EXTRAWORD
nols ^nns+++??+=EXTRAWORD
settings ^nns++++=settings
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mountaineering ^nn++++=mountaineering,
, ^zz++++=EXTRAWORD
backpacking ^nn+++??+=backpacking,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
shorter ^jjr++++=shorter-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
expeditions ^nns++++=expeditions,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
last ^rb++++=last
a ^at++++=a
couple ^nn++++=couple
weeks ^nns++++=weeks
( ^zz++++=(Hamad
hamad ^nn+++??+=EXTRAWORD
& ^zz++++=&
Travis ^np++++=Travis,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Zaccagni ^np+++??+=Zaccagni
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
3 ^zz++++=3
months ^nns++++=months,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
population ^nn++++=population
has ^vbz+hvz+vrb++=has
acclimatized ^nn+++??+=acclimatized
to ^in++++=to
their ^pp$+pp3+++=their
surrounding ^jj+atrb++xvbg+=surrounding
environment ^nn++++=environment
and ^cc++++=and
has ^vbz+hvz+vrb++=has
ample ^jj+atrb+++=ample
nutrition ^nn++++=nutrition,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
likely ^jj+atrb+++=likely
return ^nn++++=return
to ^in++++=to
their ^pp$+pp3+++=their
starting ^nvbg+++xvbg+=starting
body ^nn++++=body
mass ^nn++++=mass
and ^cc++++=and
potentially ^rb++++=potentially
exhibit ^vb++++=exhibit
readjusted ^nn+++??+=readjusted
body ^nn++++=body
fat ^nn++++=fat
and ^cc++++=and
lean ^jj+atrb+++=lean
muscle ^nn++++=muscle,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rebounded ^nn+++??+=rebounded
body ^nn++++=body
mass ^nn++++=mass
and ^cc++++=and
redistribution ^nn++++=redistribution
of ^in++++=of
body ^nn++++=body
fat ^nn++++=fat
and ^cc++++=and
lean ^jj+atrb+++=lean
muscle ^nn++++=muscle
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
study ^nn++++=study
participants ^nns++++=participants
may ^md+pos+++=may
have ^vb+hv+aux++=have
avoided ^vprf+++xvbnx+=avoided
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
negative ^jj+atrb+++=negative
health ^nn++++=health
