Most ^ql+emph+++=Most
Us ^pp1o+pp1+++=US
universities ^nns+nom+++=universities
offer ^nn++++=offer
study ^nn++++=study
abroad ^rb+pl+++=abroad
programs ^nns+++??+=programs
and ^cc++++=and
field ^nn++++=field
schools ^nns++++=schools
that ^tht+rel+subj++=that
provide ^vb+vsua+++=provide
students ^nns++++=students
an ^at++++=an
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
engage ^vbi++++=engage
in ^in++++=in
experiential ^jj++++=experiential
learning ^jj+++xvbg+=learning
beyond ^in++++=beyond
the ^ati++++=the
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom.
. ^zz++++=EXTRAWORD
Field ^nn++++=Field
schools ^nns++++=schools
are ^vb+ber+vrb++=are
typically ^rb++++=typically
method ^nn++++=method-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
and ^cc++++=and
frequently ^rb++++=frequently
require ^vb+vsua+++=require
more ^rbr++++=more
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Field ^nn++++=Field
training ^nn++++=training
has ^vbz+hvz+aux++=has
documented ^vprf+++xvbnx+=documented
educational ^jj+atrb+++=educational
and ^cc+phrs+++=and
professional ^jj+atrb+++=professional
benefits ^nns++++=benefits
( ^zz++++=(MacKinnon,
mackinnon ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Hawkins ^np++++=Hawkins,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
Lightfoot ^np+++??+=Lightfoot,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
physical ^jj+atrb+++=physical
benefits ^nns++++=benefits
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
energy ^nn++++=energy
expenditure ^nn++++=expenditure)
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
often ^rb++splt++=often
remarked ^vpsv++agls+xvbn+=remarked
upon ^in++++=upon
but ^cc++++=but
are ^vb+ber+vrb++=are
less ^rbr++++=less
weer ^nn++++=weer
documented ^vpsv++agls+xvbn+=documented.
. ^zz++++=EXTRAWORD
