Like ^in++++=Like
other ^ap++++=other
philosophical ^jj++++=philosophical
constructs ^vbz++++=constructs
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
materially ^rb++++=materially
evident ^jj+pred+++=evident,
, ^zz++++=EXTRAWORD
states ^nns++++=states
have ^vb+hv+vrb++=have
a ^at++++=a
form ^nn++++=form
and ^cc++++=and
flow ^nn++++=flow
that ^tht+rel+obj++=that
result ^nn++++=result
in ^in++++=in
a ^at++++=a
process ^nn++++=process
of ^in++++=of
continual ^nn++++=continual
becoming ^vwbg+++xvbg+=becoming
over ^in++++=over
the ^ati++++=the
long ^jj++++=long-term,
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
words ^nns++++=words
of ^in++++=of
Gosden ^np+++??+=Gosden
& ^zz++++=&
Malafouris ^np+++??+=Malafouris
( ^zz++++=(2015
2015 ^cd++++=EXTRAWORD
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
701 ^cd++++=701,
, ^zz++++=EXTRAWORD
emphasis ^nn++++=emphasis
in ^in++++=in
original ^nn++++=original;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
also ^rb++++=also
Runciman ^np+++??+=Runciman
1982 ^cd+date+++=1982
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
367 ^cd++++=367).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
this ^dt+dem+++=this
sense ^nn++++=sense
of ^in++++=of
becoming ^xvbg+++xvbg+=becoming
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
limited ^jj+++xvbn+=limited
to ^in++++=to
the ^ati++++=the
most ^ql+emph+++=most
obvious ^jj+atrb+++=obvious
physical ^jj+atrb+++=physical
expressions ^nns++++=expressions
of ^in++++=of
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
monumentality ^vb+++??+=monumentality,
, ^zz++++=EXTRAWORD
boundary ^nn++++=boundary
making ^vwbg+++xvbg+=making,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
architecture ^nn++++=architecture
of ^in++++=of
control ^nn++++=control.
. ^zz++++=EXTRAWORD
States ^nns++++=States
and ^cc++++=and
their ^pp$+pp3+++=their
inhabitants ^nns++++=inhabitants
continually ^rb++++=continually
invent ^vb++++=invent
new ^jj+atrb+++=new
forms ^nns++++=forms
of ^in++++=of
interaction ^nn++++=interaction,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
mutual ^jj+atrb+++=mutual
dependencies ^nns++++=dependencies
of ^in++++=of
top ^nn++++=top-down
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
and ^cc++++=and
bottom ^nn++++=bottom-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
interactions ^nns++++=interactions
of ^in++++=of
agricultural ^jj+atrb+++=agricultural
investments ^nns++++=investments
and ^cc++++=and
other ^ap++++=other
forms ^nns++++=forms
of ^in++++=of
infrastructure ^nn+++??+=infrastructure
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Janusek ^np+++??+=Janusek
& ^zz++++=&
Kolata ^np+++??+=Kolata
2004 ^cd++++=2004
) ^zz++++=)
but ^cc++++=but
also ^rb++++=also
what ^wdt+who+++=what
one ^cd1++++=one
could ^md+pos+++=could
call ^vb++++=call
middle ^jjb++++=middle-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
channels ^nns++++=channels
of ^in++++=of
engagement ^nn++++=engagement
and ^cc++++=and
supervision ^nn++++=supervision
( ^zz++++=(cf.
cf ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Coleman ^np+++??+=Coleman
2014 ^cd++++=2014
; ^zz++++=;
Regulski ^np+++??+=Regulski
2018 ^cd++++=2018
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
260 ^cd++++=260;
; ^zz++++=EXTRAWORD
M.l ^np+++??+=M.L.
. ^zz++++=EXTRAWORD
Smith ^np++++=Smith
2018 ^cd++++=2018
; ^zz++++=;
Thompson ^np++++=Thompson
2007 ^cd++++=2007
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
8 ^zz++++=8).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
consequent ^jj+atrb+++=consequent
contexts ^nns++++=contexts
and ^cc++++=and
materialities ^nns+++??+=materialities
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
are ^vb+ber+aux++=are
created ^vpsv++agls+xvbnx+=created
