On ^in++++=On
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
spectrum ^nn+++??+=spectrum,
, ^zz++++=EXTRAWORD
whole ^jj+atrb+++=whole
populations ^nns++++=populations
were ^vbd+bed+aux++=were
rendered ^vpsv++agls+xvbnx+=rendered
intelligible ^jj++++=intelligible.
. ^zz++++=EXTRAWORD
Igo ^np+++??+=Igo
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Kropp ^np+++??+=Kropp
( ^zz++++=(2023)
2023 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
write ^vb++++=write
incisively ^nn+++??+=incisively
about ^in++++=about
not ^xnot++not++=not
only ^rb+down+++=only
( ^zz++++=(
a ^at++++=a
) ^zz++++=)
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
new ^jj+atrb+++=new
methodological ^jj+atrb+++=methodological
devices ^nns++++=devices
of ^in++++=of
surveys ^nns++++=surveys
and ^cc++++=and
polling ^nn++++=polling
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
but ^cc++++=but
also ^rb++++=also
( ^zz++++=(
b ^zz++++=b
) ^zz++++=)
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
effects ^nns++++=effects
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
worlds ^nns++++=worlds
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
circulate ^vb++++=circulate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rise ^nn++++=rise
of ^in++++=of
surveys ^nns++++=surveys
and ^cc++++=and
polls ^nns++++=polls
was ^vbd+bedz+aux++=was
aided ^vpsv++by+xvbnx+=aided
by ^in++++=by
innovations ^nns++++=innovations
in ^in++++=in
science ^nn++++=science
that ^tht+rel+subj++=that
permitted ^vbd+++xvbn+=permitted
new ^jj+atrb+++=new
types ^nns++++=types
of ^in++++=of
calculation ^nn++++=calculation
( ^zz++++=(sampling),
sampling ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
paired ^xvbn+++xvbn+=paired
with ^in++++=with
strong ^jj+atrb+++=strong
interest ^nn++++=interest
from ^in++++=from
commerce ^nn++++=commerce
and ^cc++++=and
government ^nn++++=government
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
also ^rb++++=also
Yeo ^np+++??+=Yeo
2003 ^cd++++=2003
, ^zz++++=,
Converse ^nn++++=Converse
2009 ^cd++++=2009
, ^zz++++=,
Law ^nn++++=Law
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
