Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
results ^nns++++=results
emphasize ^vb++++=emphasize
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
body ^nn++++=body
height ^nn++++=height
as ^in++++=as
a ^at++++=a
co ^nn++++=co-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
of ^in++++=of
excess ^jj+atrb+++=excess
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
clear ^jj+atrb+++=clear
negative ^jj+atrb+++=negative
association ^nn++++=association
between ^in++++=between
height ^nn++++=height
and ^cc++++=and
Bmi ^np+++??+=BMI,
, ^zz++++=EXTRAWORD
Whtr ^np+++??+=WHtR
and ^cc++++=and
Whr ^np+++??+=WHR.
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
both ^abx++++=both
early ^jj++++=early-life
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
environmental ^jj+atrb+++=environmental
exposures ^nns++++=exposures
and ^cc++++=and
alleles ^vbz+++??+=alleles
associated ^vbd+++xvbn+=associated
with ^in++++=with
height ^nn++++=height
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
these ^dt+dem+++=these
associations ^nns++++=associations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
knowledge ^nn++++=knowledge
could ^md+pos+++=could
serve ^vb++++=serve
as ^in++++=as
further ^jjb+atrb+++=further
starting ^jj+atrb++xvbg+=starting
points ^nns++++=points
for ^in++++=for
prevention ^nn++++=prevention
programs ^nns++++=programs
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
public ^jj+atrb+++=public
health ^nn++++=health.
. ^zz++++=EXTRAWORD
