Frequency distributions were calculated for all interactions to identify the
types of emojis used to support teaching presence. The most
frequently used emojis representing teaching presence were the Winking Face
(n = 56), Clapping Hands (n = 29), Face With
Tears of Joy (n = 20), Thumbs-Up (n = 18),
Rolling On The Floor Laughing (n = 14), Beaming Face
with Smiling Eyes (n = 13), Smiling Face with Hearts
(n = 12), Smiling Face with Heart-Eyes (n = 12),
Backhand Index Pointing Up (n = 12), and Face Blowing
a Kiss (n = 10) emojis (see Appendix A). These
data are visually represented as an emoji cloud in Figure
3.
