Upon ^in++++=Upon
returning ^nn++++=returning
to ^in++++=to
the ^ati++++=the
main ^jjb+atrb+++=main
room ^nn++++=room,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
discussed ^vwbn+++xvbn+=discussed
the ^ati++++=the
identities ^nns+nom+++=identities
of ^in++++=of
the ^ati++++=the
guests ^nns++++=guests
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
interacted ^vprf+++xvbnx+=interacted
with ^in++++=with
and ^cc++++=and
shared ^jj+atrb++xvbn+=shared
additional ^jj+atrb+++=additional
information ^nn+nom+++=information
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
segment ^nn+nom+++=segment
of ^in++++=of
the ^ati++++=the
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
facilitators ^nns++++=facilitators
invited ^vwbn+++xvbn+=invited
selected ^xvbn+++xvbn+=selected
guests ^nns++++=guests
to ^to++++=to
share ^vbi++++=share
their ^pp$+pp3+++=their
responses ^nns++++=responses
to ^in++++=to
the ^ati++++=the
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
" ^zz++++="Global
global ^jj+atrb+++=EXTRAWORD
collaboration ^nn+nom+++=collaboration:
: ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
can ^md+pos+++=can
young ^jj+atrb+++=young
professionals ^nns+nom+++=professionals
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
expand ^vbi++++=expand
the ^ati++++=the
discussion ^nn++++=discussion
on ^in++++=on
various ^jj+atrb+++=various
approaches ^nns++++=approaches
to ^to++++=to
enacting ^vbg+++xvbg+=enacting
global ^jj+atrb+++=global
collaboration ^nn+nom+++=collaboration,
, ^zz++++=EXTRAWORD
encompassing ^jj+atrb++xvbg+=encompassing
diverse ^jj+atrb+++=diverse
modes ^nns++++=modes
of ^in++++=of
communication ^nn+nom+++=communication,
, ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=emotional
engagement ^nn+nom+++=engagement,
, ^zz++++=EXTRAWORD
action ^nn++++=action,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
participation ^nn+nom+++=participation
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
