Given ^vbd+++xvbn+=Given
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Whatsapp ^np+++??+=WhatsApp
as ^in++++=as
a ^at++++=a
platform ^nn++++=platform
for ^in++++=for
pedagogical ^jj+atrb+++=pedagogical
initiatives ^nns++++=initiatives,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
need ^vb++++=need
to ^to+vcmp+++=to
better ^vb++++=better
understand ^vb+vprv+++=understand
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
emojis ^nns+++??+=emojis
as ^ql++++=as
an ^at++++=an
emergent ^jj+atrb+++=emergent
form ^nn++++=form
of ^in++++=of
Internet ^np+++??+=Internet
language ^nn+nom+++=language
within ^in++++=within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
as ^in++++=as
mobile ^nn++++=mobile
technologies ^vbz+++??+=technologies
become ^vprf+++xvbn+=become
more ^rbr++++=more
integrated ^vbd+++xvbn+=integrated
into ^in++++=into
educational ^jj+atrb+++=educational
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
employed ^vbd+++xvbn+=employed
an ^at++++=an
embedded ^jj+++xvbn+=embedded
correlational ^jj+atrb+++=correlational
mixed ^jj+atrb++xvbn+=mixed
methods ^nns++++=methods
design ^vb++++=design
to ^to+vcmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
emojis ^nn++++=emojis
used ^md"++pmd"++=used
to ^to++++=to
support ^vb++++=support
cognitive ^nn++++=cognitive,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
presences ^nns+nom+++=presences
in ^in++++=in
a ^at++++=a
teacher ^nn++++=teacher
education ^nn+nom+++=education
course ^rb++++=course
conducted ^vwbn+++xvbn+=conducted
via ^in++++=via
Whatsapp ^np+++??+=WhatsApp,
, ^zz++++=EXTRAWORD
to ^to++++=to
examine ^vbi++++=examine
participants ^nns+nom+++=participants
attitudes ^nns++++=attitudes
toward ^in++++=toward
emoji ^nn+++??+=emoji
use ^nn++++=use,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
explore ^vbi++++=explore
the ^ati++++=the
relationship ^nn+nom+++=relationship
of ^in++++=of
age ^nn++++=age
and ^cc++++=and
gender ^nn++++=gender
to ^in++++=to
this ^dt+dem+++=this
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
generated ^vbd+++xvbn+=generated
from ^in++++=from
teacher ^nn++++=teacher
interactions ^nns+nom+++=interactions
on ^in++++=on
Whatsapp ^np+++??+=WhatsApp
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
using ^vbg+++xvbg+=using
Garrison ^nn++++=Garrison
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
s ^zz++++=s
( ^zz++++=(1999)
1999 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
Community ^nn+nom+++=Community
of ^in++++=of
Inquiry ^nn++++=Inquiry
Model ^nn++++=Model,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
conceptualizes ^vbz++++=conceptualizes
effective ^jj+atrb+++=effective
online ^nn+++??+=online
educational ^jj+atrb+++=educational
experiences ^nns+nom+++=experiences
as ^ql++++=as
arising ^jj+++xvbg+=arising
from ^in++++=from
the ^ati++++=the
interaction ^nn+nom+++=interaction
of ^in++++=of
three ^cd++++=three
core ^nn++++=core
elements ^nns+nom+++=elements:
: ^zz++++=EXTRAWORD
social ^jj++++=social,
, ^zz++++=EXTRAWORD
cognitive ^jj++++=cognitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
teaching ^nvbg+++xvbg+=teaching
presences ^nns+nom+++=presences.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
emojis ^nns+++??+=emojis
can ^md+pos+++=can
be ^vb+be+aux++=be
effectively ^rb++splt++=effectively
utilized ^vpsv++agls+xvbnx+=utilized
to ^to++++=to
support ^vbi++++=support
these ^dt+dem+++=these
three ^cd++++=three
presences ^nns+nom+++=presences.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
high ^jj+atrb+++=high
frequency ^nn++++=frequency
of ^in++++=of
emoji ^nn+++??+=emoji
use ^nn++++=use
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
both ^abx++++=both
cultural ^jj++++=cultural
and ^cc++++=and
gender ^nn++++=gender-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
