As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
facilitators ^nns++++=facilitators
structured ^vbd+++xvbn+=structured
the ^ati++++=the
sequence ^nn+nom+++=sequence
of ^in++++=of
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
opening ^jj+atrb++xvbg+=opening
and ^cc+phrs+++=and
closing ^jj+atrb++xvbg+=closing
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ensured ^vbd+vprv++xvbn+=ensured
that ^tht+vcmp+++=that
play ^nn++++=play
and ^cc++++=and
discussion ^nn++++=discussion
were ^vbd+bed+aux++=were
aligned ^vpsv++agls+xvbnx+=aligned
with ^in++++=with
the ^ati++++=the
topic ^nn++++=topic
of ^in++++=of
global ^jj+atrb+++=global
collaboration ^nn+nom+++=collaboration.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
young ^jj+atrb+++=young
professionals ^nns+nom+++=professionals
participating ^vwbg+++xvbg+=participating
as ^ql++++=as
guests ^nns++++=guests
in ^in++++=in
the ^ati++++=the
workshop ^nn++++=workshop
to ^to++++=to
connect ^vbi++++=connect
the ^ati++++=the
content ^jj++++=content
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
own ^ap++++=own
experiences ^nns+nom+++=experiences
and ^cc++++=and
encouraged ^vbd+++xvbn+=encouraged
engagement ^nn+nom+++=engagement
with ^in++++=with
others ^aps++++=others
both ^abx++++=both
during ^in++++=during
and ^cc++++=and
after ^in++++=after
the ^ati++++=the
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
fostering ^xvbg+++xvbg+=fostering
creative ^jj+atrb+++=creative
approaches ^nns++++=approaches
to ^to++++=to
enhancing ^vbi++++=enhancing
their ^pp$+pp3+++=their
agency ^nn++++=agency.
. ^zz++++=EXTRAWORD
The ^ati++++=The
intention ^nn+nom+++=intention
was ^vbd+bedz+aux++=was
to ^to++++=to
create ^vbi++++=create
an ^at++++=an
environment ^nn+nom+++=environment
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
group ^nn++++=group
could ^md+pos+++=could
develop ^vb++++=develop
their ^pp$+pp3+++=their
conatus ^nns+++??+=conatus,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
Spinoza ^np+++??+=Spinoza
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Iii ^np+++??+=III,
, ^zz++++=EXTRAWORD
Prop ^nn++++=Prop.
. ^zz++++=EXTRAWORD
Vii ^np+++??+=VII),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
referring ^vbg+++xvbg+=referring
to ^in++++=to
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
improve ^vbi++++=improve
and ^cc+phrs+++=and
sustain ^vb++++=sustain
one ^cd1++++=one
s ^zz++++=s
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
