When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
to ^to+vcmp+++=to
select ^vbi++++=select
the ^ati++++=the
primary ^jj+atrb+++=primary
reason ^nn++++=reason
from ^in++++=from
four ^cd++++=four
options ^nns+nom+++=options
to ^to++++=to
explain ^vbi+vpub+++=explain
their ^pp$+pp3+++=their
change ^nn++++=change
in ^in++++=in
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
53 ^cd++++=53%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns+nom+++=participants
whose ^whp+rel+obj++=whose
perception ^nn+nom+++=perception
of ^in++++=of
scientists ^nns+nom+++=scientists
had ^vbd+hvd+aux++=had
improved ^vprf+++xvbnx+=improved
chose ^vbd+++xvbn+=chose
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
people ^nns++++=people
who ^whp+rel+subj++=who
provide ^vb+vsua+++=provide
great ^jj+atrb+++=great
discoveries ^nns+nom+++=discoveries
to ^in++++=to
society ^nn++++=society
as ^in++++=as
the ^ati++++=the
main ^jjb+atrb+++=main
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
opinion ^nn++++=opinion
of ^in++++=of
scientists ^nns+nom+++=scientists
had ^vbd+hvd+aux++=had
worsened ^vprf+++xvbnx+=worsened,
, ^zz++++=EXTRAWORD
43 ^cd++++=43%
% ^zz++++=EXTRAWORD
selected ^jj+++xvbn+=selected
other ^ap++++=other
as ^ql++++=as
their ^pp$+pp3+++=their
primary ^jj+atrb+++=primary
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
chose ^vbd+++xvbn+=chose
they ^pp3a+pp3+++=they
only ^rb+down+++=only
discover ^nn+nom+++=discover
things ^nns++++=things
and ^cc++++=and
develop ^vb++++=develop
products ^nns++++=products
to ^to++++=to
earn ^vbi++++=earn
money ^nn++++=money
as ^in++++=as
the ^ati++++=the
second ^od++++=second
most ^ql+emph+++=most
common ^jj+atrb+++=common
response ^nn++++=response.
. ^zz++++=EXTRAWORD
