Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
pampeanum ^nn+++??+=pampeanum
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
diaphragm ^nn+++??+=diaphragm
that ^tht+rel+subj++=that
separates ^nns+nom+++=separates
the ^ati++++=the
gleba ^nn+++??+=gleba
from ^in++++=from
the ^ati++++=the
subgleba ^nn+++??+=subgleba,
, ^zz++++=EXTRAWORD
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
mycosclereids ^nns+++??+=mycosclereids
on ^in++++=on
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
exoperidium ^nn+++??+=exoperidium,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
eucapillitium ^nn++++=eucapillitium
( ^zz++++=(Homrich
homrich ^nn++++=EXTRAWORD
& ^zz++++=&
wright ^np++++=Wright
1988 ^cd+date+++=1988).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
