Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
stated ^vpsv++agls+xvbnx+=stated
that ^tht+vcmp+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
" ^zz++++="initiation"
initiation ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
reflects ^vbz++++=reflects
the ^ati++++=the
expectation ^nn+nom+++=expectation
that ^tht+ncmp+++=that
Undergraduate ^nn+nom+++=Undergraduate
Scientific ^jj+atrb+++=Scientific
Research ^nn++++=Research
( ^zz++++=(USR)
usr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
offers ^vbz++++=offers
a ^at++++=a
broader ^nn++++=broader
learning ^vwbg+vprv++xvbg+=learning
experience ^nn+nom+++=experience
beyond ^in++++=beyond
theoretical ^jj+atrb+++=theoretical
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
interaction ^nn+nom+++=interaction
between ^in++++=between
an ^at++++=an
experienced ^jj+atrb++xvbn+=experienced
researcher ^nn+nom+++=researcher
and ^cc++++=and
a ^at++++=a
novice ^nn++++=novice.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
positions ^nns+nom+++=positions
Usr ^np+++??+=USR
as ^in++++=as
a ^at++++=a
particularly ^rb++++=particularly
effective ^jj+atrb+++=effective
context ^nn++++=context
for ^in++++=for
mimetic ^nn++++=mimetic
learning ^vwbg+vprv++xvbg+=learning.
. ^zz++++=EXTRAWORD
Relevant ^jj+atrb+++=Relevant
legislation ^nn+nom+++=legislation
supports ^nns++++=supports
this ^dt+dem+++=this
view ^nn++++=view
by ^in++++=by
defining ^xvbg+++xvbg+=defining
the ^ati++++=the
core ^nn++++=core
relationship ^nn+nom+++=relationship
in ^in++++=in
Usr ^np+++??+=USR
as ^ql++++=as
one ^pn++++=one
between ^in++++=between
a ^at++++=a
" ^zz++++="qualified
qualified ^jj+atrb++xvbn+=EXTRAWORD
researcher ^nn+nom+++=researcher"
" ^zz++++=EXTRAWORD
( ^zz++++=(as
as ^in++++=EXTRAWORD
specified ^nn++++=specified
in ^in++++=in
Normative ^np+++??+=Normative
Resolution ^nn+nom+++=Resolution
No ^rb++++=No.
. ^zz++++=EXTRAWORD
017 ^nn+++??+=017/2006)
and ^cc++++=and
an ^at++++=an
individual ^nn++++=individual
beginning ^vwbg+++xvbg+=beginning
their ^pp$+pp3+++=their
research ^nn++++=research
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
laboratory ^nn++++=laboratory
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
neves ^np++++=Neves
( ^zz++++=(2001:
2001 ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
84 ^cd++++=84)
) ^zz++++=EXTRAWORD
states ^nns++++=states
that ^tht+rel+obj++=that
