Since ^in++++=Since
1967 ^cd+date+++=1967,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Institute ^nn++++=Institute
of ^in++++=of
Geography ^nn++++=Geography
and ^cc++++=and
Statistics ^nns++++=Statistics
( ^zz++++=(IBGE)
ibge ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
systematically ^rb++splt++=systematically
collected ^vprf+++xvbnx+=collected
data ^nns++++=data
on ^in++++=on
population ^nn+nom+++=population
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
income ^nn++++=income,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
housing ^nn++++=housing
through ^in++++=through
the ^ati++++=the
National ^jj+atrb+++=National
Household ^nn++++=Household
Sample ^nn++++=Sample
Surveys ^nns++++=Surveys
( ^zz++++=(PNADs).
pnads ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
the ^ati++++=the
survey ^nn++++=survey
was ^vbd+bedz+aux++=was
restructured ^vpsv++agls+xvbnx+=restructured
as ^ql++++=as
the ^ati++++=the
Continuous ^jj+atrb+++=Continuous
Pnad ^np+++??+=PNAD,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
conducted ^vpsv++agls+xvbnx+=conducted
quarterly ^jj++++=quarterly
to ^in++++=to
monitor ^nn++++=monitor
fluctuations ^nns+nom+++=fluctuations
in ^in++++=in
the ^ati++++=the
labor ^nn++++=labor
force ^nn++++=force
and ^cc++++=and
to ^to++++=to
provide ^vb+vsua+++=provide
comprehensive ^jj+atrb+++=comprehensive
socioeconomic ^nn++++=socioeconomic
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
