Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
receptacle ^nn+++??+=receptacle
arms ^nns++++=arms
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
not ^xnot++not++=not
joined ^vbd+++xvbn+=joined
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
a ^at++++=a
prominently ^rb++++=prominently
yellow ^jj+atrb+++=yellow
basal ^jj+atrb+++=basal
mycelium ^nn+++??+=mycelium,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glebiferous ^jj+atrb+++=glebiferous
zones ^nns++++=zones
with ^in++++=with
digitiform ^nn+++??+=digitiform
extensions ^nns++++=extensions
located ^vwbn+++xvbn+=located
at ^rb++++=at
the ^ati++++=the
intersections ^nns+nom+++=intersections
of ^in++++=of
the ^ati++++=the
arms ^nns++++=arms
that ^tht+rel+obj++=that
form ^nn++++=form
the ^ati++++=the
network ^nn++++=network
( ^zz++++=(Dom
dom ^&fw++++=EXTRAWORD
nguez ^nn++++=nguez
de ^&fw++++=de
toledo ^np++++=Toledo
1985 ^cd+date+++=1985).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
