Gottlieb ^np+++??+=Gottlieb
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
more ^rbr++++=more
educated ^jj+atrb++xvbn+=educated
and ^cc+phrs+++=and
salaried ^jj+atrb+++=salaried
employees ^nns+nom+++=employees,
, ^zz++++=EXTRAWORD
as ^in++++=as
opposed ^in"++++=opposed
to ^in++++=to
self ^nn++++=self-employed
- ^zz++++=EXTRAWORD
employed ^xvbn+++xvbn+=EXTRAWORD
individuals ^nns+nom+++=individuals
or ^cc++++=or
employers ^nns+nom+++=employers,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
work ^vb++++=work
from ^in++++=from
home ^nr++++=home,
, ^zz++++=EXTRAWORD
even ^rb++++=even
after ^in++++=after
controlling ^nn++++=controlling
for ^in++++=for
specific ^jj+atrb+++=specific
types ^nns++++=types
of ^in++++=of
work ^nn++++=work.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
while ^cs+sub+++=while
the ^ati++++=the
propensity ^nn+nom+++=propensity
for ^in++++=for
remote ^jj+atrb+++=remote
work ^nn++++=work
varies ^vbz++++=varies
across ^in+pl+++=across
different ^jj+atrb+++=different
occupations ^nns+nom+++=occupations,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
also ^rb++++=also
significant ^jj+atrb+++=significant
heterogeneity ^nn+nom+++=heterogeneity
within ^in++++=within
individual ^jj+atrb+++=individual
occupations ^nns+nom+++=occupations.
. ^zz++++=EXTRAWORD
