Among ^in++++=Among
respondents ^nns++++=respondents
who ^whp+rel+subj++=who
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
change ^nn++++=change
in ^in++++=in
interests ^nns++++=interests
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
a ^at++++=a
higher ^jjr+atrb+++=higher
proportion ^nn+nom+++=proportion
were ^vbd+bed+vrb++=were
female ^jj+pred+++=female
( ^zz++++=(23%)
23 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
male ^jj++++=male
( ^zz++++=(20%),
20% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
more ^ql++++=more
were ^vbd+bed+aux++=were
studying ^vbg+++xvbgx+=studying
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
( ^zz++++=(25%)
25 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
than ^in++++=than
in ^in++++=in
private ^jj+atrb+++=private
schools ^nns++++=schools
( ^zz++++=(17%),
17% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
greater ^jjr+atrb+++=greater
percentage ^nn+nom+++=percentage
had ^vb+hv+vrb++=had
neither ^dt++neg++=neither
parent ^nn++++=parent
with ^in++++=with
a ^at++++=a
university ^nn+nom+++=university
education ^nn+nom+++=education
( ^zz++++=(25.7%)
25.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
both ^abx++++=both
parents ^nns++++=parents
had ^vbd+hvd+aux++=had
attended ^vprf+++xvbnx+=attended
university ^npl+nom+++=university
( ^zz++++=(17.2%).
17.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
two ^cd++++=two
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
eleven ^cd++++=eleven
adolescents ^nns++++=adolescents
( ^zz++++=(18%)
18 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
pursue ^vbi++++=pursue
a ^at++++=a
career ^nn++++=career,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
1.1 ^cd++++=1.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
sample ^nn++++=sample
( ^zz++++=(N=983),
n=983 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
their ^pp$+pp3+++=their
decision ^nn++++=decision
was ^vbd+bedz+aux++=was
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
