When ^wrb+who+++=When
Equation ^nn+nom+++=Equation
1 ^zz++++=1
is ^vbz+bez+aux++=is
estimated ^vpsv++agls+xvbnx+=estimated
using ^vbg+++xvbg+=using
a ^at++++=a
level ^nn++++=level-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
functional ^jj+atrb+++=functional
form ^nn++++=form,
, ^zz++++=EXTRAWORD
the ^ati++++=the
econometric ^jj+atrb+++=econometric
analysis ^nn++++=analysis
identifies ^vbz++++=identifies
a ^at++++=a
greater ^jjr+atrb+++=greater
number ^nn++++=number
of ^in++++=of
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
Sbd ^np+++??+=SBD
effects ^nns++++=effects
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
log ^&fo++++=log-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
specification ^nn+nom+++=specification.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adjusted ^jj+++xvbn+=adjusted
R ^zz++++=R-squared
- ^zz++++=EXTRAWORD
squared ^jj+atrb++xvbn+=EXTRAWORD
values ^nns++++=values
for ^in++++=for
these ^dt+dem+++=these
level ^nn++++=level-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
models ^nns++++=models
are ^vb+ber+vrb++=are
lower ^jjr+pred+++=lower
than ^in++++=than
those ^dt+dem+++=those
obtained ^jj+++xvbn+=obtained
from ^in++++=from
the ^ati++++=the
semi ^nn++++=semi-logarithmic
- ^zz++++=EXTRAWORD
logarithmic ^jj+atrb+++=EXTRAWORD
models ^nns++++=models,
, ^zz++++=EXTRAWORD
as ^ql++++=as
previously ^rb+tm+++=previously
demonstrated ^vpsv++agls+xvbn+=demonstrated.
. ^zz++++=EXTRAWORD
