Latin ^jj+atrb+++=Latin
America ^np++++=America
contains ^vbz++++=contains
a ^at++++=a
significant ^jj+atrb+++=significant
proportion ^nn+nom+++=proportion
of ^in++++=of
the ^ati++++=the
Earth ^np++++=Earth's
's ^$++++=EXTRAWORD
biodiversity ^nn+nom+++=biodiversity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
partly ^rb+down+++=partly
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
relatively ^rb++++=relatively
unexplored ^jj+atrb++xvbn+=unexplored
regions ^nns++++=regions
and ^cc++++=and
uncontacted ^jj+atrb++xvbn+=uncontacted
Indigenous ^jj+atrb+++=Indigenous
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
traditional ^jj+atrb+++=traditional
practices ^nns++++=practices
of ^in++++=of
these ^dt+dem+++=these
Indigenous ^jj+atrb+++=Indigenous
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
emphasize ^vb++++=emphasize
respect ^nn++++=respect
for ^in++++=for
nature ^nn++++=nature
and ^cc++++=and
coexistence ^nn+nom+++=coexistence
with ^in++++=with
the ^ati++++=the
environment ^nn+nom+++=environment,
, ^zz++++=EXTRAWORD
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
maintenance ^nn+nom+++=maintenance
and ^cc++++=and
preservation ^nn+nom+++=preservation
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity
and ^cc++++=and
are ^vb+ber+aux++=are
closely ^rb++splt++=closely
integrated ^vpsv++agls+xvbn+=integrated
with ^in++++=with
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
