At ^rb++++=At
the ^ati++++=the
opposite ^jj+atrb+++=opposite
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
spectrum ^nn+++??+=spectrum,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
occupational ^jj+atrb+++=occupational
categories ^nns++++=categories
exhibited ^vbd+++xvbn+=exhibited
minimal ^jj+atrb+++=minimal
potential ^nn++++=potential
for ^in++++=for
remote ^jj+atrb+++=remote
work ^nn++++=work:
: ^zz++++=EXTRAWORD
domestic ^jj+atrb+++=domestic
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
daily ^jj+atrb+++=daily
cleaners ^nns+nom+++=cleaners,
, ^zz++++=EXTRAWORD
household ^nn++++=household
cooks ^nns++++=cooks,
, ^zz++++=EXTRAWORD
agricultural ^jj+atrb+++=agricultural
assistants ^nns+nom+++=assistants,
, ^zz++++=EXTRAWORD
farmers ^nns+nom+++=farmers,
, ^zz++++=EXTRAWORD
animal ^nn++++=animal
breeders ^nns+nom+++=breeders,
, ^zz++++=EXTRAWORD
delivery ^nn+nom+++=delivery
bikers ^nn++++=bikers,
, ^zz++++=EXTRAWORD
truck ^nn++++=truck
drivers ^nns+nom+++=drivers,
, ^zz++++=EXTRAWORD
janitors ^nns++++=janitors,
, ^zz++++=EXTRAWORD
bricklayers ^nns+nom+++=bricklayers,
, ^zz++++=EXTRAWORD
painters ^nns+nom+++=painters,
, ^zz++++=EXTRAWORD
electricians ^nns++++=electricians,
, ^zz++++=EXTRAWORD
joiners ^nns+nom+++=joiners,
, ^zz++++=EXTRAWORD
machine ^nn++++=machine
operators ^nns++++=operators,
, ^zz++++=EXTRAWORD
production ^nn+nom+++=production
assistants ^nns+nom+++=assistants,
, ^zz++++=EXTRAWORD
bakers ^nns++++=bakers,
, ^zz++++=EXTRAWORD
butchers ^nns+nom+++=butchers,
, ^zz++++=EXTRAWORD
confectioners ^nns+nom+++=confectioners,
, ^zz++++=EXTRAWORD
vehicle ^nn++++=vehicle
mechanics ^nn++++=mechanics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drivers ^nns+nom+++=drivers,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
tasks ^nns++++=tasks
performed ^vwbn+++xvbn+=performed
is ^vbz+bez+vrb++=is
inherently ^rb++++=inherently
incompatible ^jj+pred+++=incompatible
with ^in++++=with
remote ^jj+atrb+++=remote
work ^nn++++=work.
. ^zz++++=EXTRAWORD
