Epibatidine ^np+++??+=Epibatidine
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
developed ^vprf+++xvbn+=developed
as ^ql++++=as
a ^at++++=a
therapeutic ^jj+atrb+++=therapeutic
agent ^nn++++=agent
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
narrow ^jj+atrb+++=narrow
margin ^nn++++=margin
between ^in++++=between
effective ^jj+atrb+++=effective
and ^cc+phrs+++=and
toxic ^jj+atrb+++=toxic
doses ^nns++++=doses;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
served ^vbd+++xvbn+=served
as ^ql++++=as
a ^at++++=a
structural ^jj+atrb+++=structural
template ^nn+nom+++=template
for ^in++++=for
Abbott ^np+++??+=Abbott
Laboratories ^nns++++=Laboratories,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
synthesized ^jj+++xvbn+=synthesized
and ^cc+phrs+++=and
patented ^jj++++=patented
the ^ati++++=the
derivative ^jj+atrb+++=derivative
Abt ^np+++??+=ABT-594
- ^zz++++=EXTRAWORD
594 ^cd++++=EXTRAWORD
in ^in++++=in
1995 ^cd+date+++=1995.
. ^zz++++=EXTRAWORD
Abt ^np+++??+=ABT-594
- ^zz++++=EXTRAWORD
594 ^cd++++=EXTRAWORD
exhibits ^nns++++=exhibits
analgesic ^jj+atrb+++=analgesic
potency ^nn++++=potency
approximately ^rb+down+++=approximately
200 ^cd++++=200
times ^nns++++=times
greater ^jjr++++=greater
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
morphine ^nn++++=morphine
and ^cc++++=and
lacks ^vbz++++=lacks
the ^ati++++=the
severe ^jj+atrb+++=severe
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
associated ^vwbn+++xvbn+=associated
with ^in++++=with
epibatidine ^nn++++=epibatidine
( ^zz++++=(Angerer
angerer ^jjr++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
