Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
globose ^nn+++??+=globose,
, ^zz++++=EXTRAWORD
compact ^jj+atrb+++=compact
basidiome ^nn+++??+=basidiome
in ^in++++=in
its ^pp$+it+++=its
juvenile ^jj+atrb+++=juvenile
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
develops ^vbz++++=develops
into ^in++++=into
a ^at++++=a
structure ^nn++++=structure
with ^in++++=with
a ^at++++=a
basal ^jj+atrb+++=basal
portion ^nn+nom+++=portion
resembling ^vwbg+++xvbg+=resembling
an ^at++++=an
inverted ^jj+atrb++xvbn+=inverted
pear ^nn++++=pear
or ^cc++++=or
a ^at++++=a
loaf ^nn++++=loaf
of ^in++++=of
bread ^nn++++=bread
at ^in++++=at
maturity ^nn+nom+++=maturity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surface ^nn++++=surface
is ^vbz+bez+vrb++=is
typically ^rb++++=typically
brown ^jj+pred+++=brown
and ^cc++++=and
often ^rb++++=often
exhibits ^nns++++=exhibits
a ^at++++=a
mosaic ^jj++++=mosaic-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
pattern ^nn++++=pattern
of ^in++++=of
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
At ^in++++=At
maturity ^nn+nom+++=maturity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gleba ^nn+++??+=gleba
becomes ^vbz++++=becomes
purplish ^jj++++=purplish
and ^cc+phrs+++=and
pulverulent ^jj++++=pulverulent
( ^zz++++=(Zeller
zeller ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
smith ^np++++=Smith
1964 ^cd+date+++=1964;
; ^zz++++=EXTRAWORD
morales ^np++++=Morales
& ^zz++++=&
kimbrough ^np++++=Kimbrough
1978 ^cd+date+++=1978).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
