Within ^in++++=Within
the ^ati++++=the
ongoing ^nn++++=ongoing
debate ^vb++++=debate
regarding ^in++++=regarding
the ^ati++++=the
multilateral ^jj+atrb+++=multilateral
dimensions ^nns++++=dimensions
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
prudential ^np++++=prudential
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
international ^jj+atrb+++=international
coordination ^nn+nom+++=coordination
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
Ghosh ^np+++??+=Ghosh
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
noteworthy ^jj+pred+++=noteworthy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
examine ^vb++++=examine
whether ^cs+who+++=whether
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
other ^ap++++=other
regulatory ^nn++++=regulatory
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
effective ^jj+pred+++=effective
when ^wrb+who+++=when
implemented ^vbd+++xvbn+=implemented
simultaneously ^rb+tm+++=simultaneously
on ^in++++=on
both ^abx++++=both
capital ^nn++++=capital
inflows ^nns++++=inflows
and ^cc++++=and
outflows ^nns+++??+=outflows
by ^in++++=by
emerging ^xvbg+++xvbg+=emerging
market ^nn++++=market
recipient ^nn++++=recipient
countries ^nns++++=countries
and ^cc++++=and
advanced ^jj+atrb++xvbn+=advanced
source ^nn++++=source
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
To ^to++++=To
assess ^vbi++++=assess
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
these ^dt+dem+++=these
instruments ^nns+nom+++=instruments
in ^in++++=in
reducing ^xvbg+++xvbg+=reducing
cross ^jj++++=cross-border
- ^zz++++=EXTRAWORD
border ^nn++++=EXTRAWORD
banking ^nn++++=banking
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
utilizes ^vbz++++=utilizes
a ^at++++=a
sample ^nn++++=sample
comprising ^vwbg+++xvbg+=comprising
76 ^cd++++=76
capital ^nn++++=capital
recipient ^nn++++=recipient
countries ^nns++++=countries
and ^cc++++=and
31 ^cd++++=31
capital ^nn++++=capital
source ^nn++++=source
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
conducting ^xvbg+++xvbg+=conducting
separate ^nn+nom+++=separate
regressions ^nns+++??+=regressions
for ^in++++=for
each ^dt++++=each
group ^nn++++=group.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
prudential ^np++++=prudential
regulations ^nns+nom+++=regulations
applied ^vwbn+++xvbn+=applied
to ^in++++=to
capital ^nn++++=capital
outflows ^nns+++??+=outflows
from ^in++++=from
source ^nn++++=source
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
targeting ^jj+atrb++xvbg+=targeting
external ^jj+atrb+++=external
loans ^nns++++=loans,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
significant ^jj+atrb+++=significant
effect ^nn++++=effect
in ^in++++=in
reducing ^xvbg+++xvbg+=reducing
bank ^npl++++=bank
flows ^vbz++++=flows
during ^in++++=during
the ^ati++++=the
sample ^nn++++=sample
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
regulatory ^nn++++=regulatory
measures ^vbz++++=measures
imposed ^vwbn+++xvbn+=imposed
on ^in++++=on
capital ^nn++++=capital
inflows ^nns++++=inflows
by ^in++++=by
recipient ^nn++++=recipient
countries ^nns++++=countries
demonstrate ^nn+nom+++=demonstrate
some ^dti++++=some
effectiveness ^nns+nom+++=effectiveness
in ^in++++=in
curbing ^jj++++=curbing
cross ^jj++++=cross-border
- ^zz++++=EXTRAWORD
border ^nn++++=EXTRAWORD
banking ^nn++++=banking
flows ^nns++++=flows.
. ^zz++++=EXTRAWORD
