Given ^vbd+++xvbn+=Given
the ^ati++++=the
challenges ^nn++++=challenges
associated ^vbd+++xvbn+=associated
with ^in++++=with
performing ^xvbg+++xvbg+=performing
jobs ^nns++++=jobs
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
face ^nn++++=face-to-face
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
interaction ^nn+nom+++=interaction
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
transmission ^nn++++=transmission
characteristics ^nns++++=characteristics
of ^in++++=of
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
government ^nn+nom+++=government
classifications ^nns+nom+++=classifications
of ^in++++=of
essential ^jj+atrb+++=essential
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
a ^at++++=a
central ^jj+atrb+++=central
question ^nn+nom+++=question
addressed ^vwbn+++xvbn+=addressed
by ^in++++=by
recent ^jj+atrb+++=recent
research ^nn++++=research
is ^vbz+bez+vrb++=is
whether ^cs+who+++=whether
specific ^jj+atrb+++=specific
jobs ^nns++++=jobs
can ^md+pos+++=can
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
remotely ^rb++++=remotely.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
by ^in++++=by
Yasenov ^np+++??+=Yasenov
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gallacher ^np+nom++??+=Gallacher
and ^cc++++=and
Hossain ^np+++??+=Hossain
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Crowley ^np+++??+=Crowley
and ^cc++++=and
Doran ^np+++??+=Doran
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brussevich ^np+++??+=Brussevich
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bartik ^np+++??+=Bartik
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
this ^dt+dem+++=this
issue ^nn++++=issue
in ^in++++=in
contexts ^nns++++=contexts
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Oecd ^np+++??+=OECD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
To ^in++++=To
date ^nn++++=date,
, ^zz++++=EXTRAWORD
most ^ap+emph+++=most
research ^nn++++=research
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Notable ^jj+atrb+++=Notable
contributions ^nns+nom+++=contributions
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
include ^vb++++=include
work ^nn++++=work
by ^in++++=by
Balde ^np+++??+=Balde
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Estupinan ^np+nom++??+=Estupinan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gottlieb ^np+++??+=Gottlieb
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Khamis ^np+++??+=Khamis
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021).
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
these ^dt+dem+++=these
studies ^nns++++=studies
differ ^vb++++=differ
in ^in++++=in
certain ^jj+atrb+++=certain
respects ^nns++++=respects,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
consistently ^rb++++=consistently
identify ^vb++++=identify
significant ^jj+atrb+++=significant
inequalities ^nns+nom+++=inequalities
in ^in++++=in
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
engaging ^nn++++=engaging
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work,
, ^zz++++=EXTRAWORD
with ^in++++=with
disparities ^nns+nom+++=disparities
observed ^vbd+vprv++xvbn+=observed
across ^in+pl+++=across
dimensions ^nns++++=dimensions
such ^abl++++=such
as ^ql++++=as
income ^nn++++=income,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
employment ^nn+nom+++=employment
contract ^nn++++=contract
type ^nn++++=type,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
more ^rbr++++=more
limited ^jj+atrb++xvbn+=limited
opportunities ^nns+nom+++=opportunities
for ^in++++=for
remote ^jj+atrb+++=remote
work ^nn++++=work
among ^in++++=among
vulnerable ^jj+atrb+++=vulnerable
groups ^nns++++=groups
in ^in++++=in
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market.
. ^zz++++=EXTRAWORD
