We ^pp1a+pp1+++=We
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
coevolutionary ^nn+nom+++=coevolutionary
consequences ^nns+nom+++=consequences
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
within ^in++++=within
mutualistic ^jj+atrb+++=mutualistic
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
findings ^nns++++=findings
demonstrate ^nn+nom+++=demonstrate
that ^tht+vcmp+++=that
both ^abx++++=both
trait ^nn++++=trait
evolution ^nn+nom+++=evolution
and ^cc++++=and
network ^nn++++=network
structure ^nn++++=structure
can ^md+pos+++=can
be ^vb+be+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
strategies ^nns+++??+=strategies
in ^in++++=in
mutualistic ^jj+atrb+++=mutualistic
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
previous ^jj+atrb+++=previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
mutualisms ^nns+nom+++=mutualisms
and ^cc++++=and
cheating ^nvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
on ^in++++=on
population ^nn+nom+++=population
dynamics ^nn++++=dynamics
( ^zz++++=(Law
law ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Bronstein ^np+++??+=Bronstein
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Wilson ^np++++=Wilson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Lee ^nn++++=Lee
2015 ^cd++++=2015)
) ^zz++++=EXTRAWORD
and ^cc++++=and
phenotypic ^jj+atrb+++=phenotypic
evolution ^nn+nom+++=evolution
( ^zz++++=(Ferriere
ferriere ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2002 ^cd++++=2002),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
advances ^nns+nom+++=advances
understanding ^vwbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
coevolutionary ^nn+nom+++=coevolutionary
dynamics ^nn++++=dynamics
in ^in++++=in
multispecies ^nns++++=multispecies
assemblages ^nns+nom+++=assemblages
in ^in++++=in
three ^cd++++=three
distinct ^jj+atrb+++=distinct
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
