Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
the ^ati++++=the
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
examines ^vbz++++=examines
theoretical ^jj+atrb+++=theoretical
and ^cc+phrs+++=and
practical ^jj+atrb+++=practical
concepts ^nns++++=concepts
central ^jj++++=central
to ^in++++=to
the ^ati++++=the
Gpb ^np+++??+=GPB,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
collaboration ^nn+nom+++=collaboration
and ^cc++++=and
play ^nn++++=play,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
also ^rb++++=also
fundamental ^jj+pred+++=fundamental
to ^in++++=to
the ^ati++++=the
session ^nn++++=session
under ^in++++=under
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Collaboration ^nn+nom+++=Collaboration,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
within ^in++++=within
the ^ati++++=the
framework ^nn++++=framework
of ^in++++=of
Critical ^jj+atrb+++=Critical
Collaborative ^np+++??+=Collaborative
Research ^nn++++=Research
( ^zz++++=(Magalh
magalh ^nn+++??+=EXTRAWORD
es ^&fw++++=es
& ^zz++++=&
Fidalgo ^np+++??+=Fidalgo,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
emphasizes ^vbz+vpub+++=emphasizes
co ^nn++++=co-authorship
- ^zz++++=EXTRAWORD
authorship ^nn+nom+++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
joint ^jjb+atrb+++=joint
construction ^nn+nom+++=construction
of ^in++++=of
knowledge ^nn++++=knowledge
among ^in++++=among
all ^abn++++=all
participants ^nns+nom+++=participants
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
an ^at++++=an
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
play ^nn++++=play
session ^nn++++=session,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
collaborative ^jj+atrb+++=collaborative
practices ^nns++++=practices
by ^in++++=by
sharing ^xvbg+++xvbg+=sharing
their ^pp$+pp3+++=their
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
interacting ^jj++++=interacting
with ^in++++=with
available ^jj+atrb+++=available
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
recognizing ^vbg+++xvbg+=recognizing
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
group ^nn++++=group
diversity ^nn+nom+++=diversity
as ^in++++=as
a ^at++++=a
factor ^nn++++=factor
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
collective ^jj+atrb+++=collective
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
