Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+vrb++=is
readily ^rb++++=readily
identifiable ^jj+pred+++=identifiable
by ^in++++=by
its ^pp$+it+++=its
large ^jj+atrb+++=large
basidiome ^nn+++??+=basidiome,
, ^zz++++=EXTRAWORD
measuring ^vbg+++xvbg+=measuring
approximately ^rb+down+++=approximately
10 ^cd++++=10
30 ^cd++++=30
cm ^nnu++++=cm
in ^in++++=in
height ^nn++++=height
including ^in++++=including
the ^ati++++=the
spore ^nn+++??+=spore
sac ^nn+++??+=sac,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
rapid ^jj+atrb+++=rapid
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
The ^ati++++=The
basidiome ^nn+++??+=basidiome
is ^vbz+bez+vrb++=is
rust ^nn++++=rust-colored,
- ^zz++++=EXTRAWORD
colored ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
stipe ^nn+++??+=stipe
that ^tht+rel+subj++=that
can ^md+pos+++=can
reach ^vb++++=reach
up ^rp++++=up
to ^to++++=to
25 ^cd++++=25
cm ^nnu++++=cm
in ^in++++=in
length ^nn++++=length
and ^cc++++=and
supports ^nns++++=supports
a ^at++++=a
spore ^nn+++??+=spore
sac ^nn+++??+=sac.
. ^zz++++=EXTRAWORD
The ^ati++++=The
exoperidium ^nn+++??+=exoperidium
persists ^nns+nom+++=persists
as ^in++++=as
a ^at++++=a
volva ^nn+++??+=volva
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
and ^cc++++=and
as ^in++++=as
apical ^jj+atrb+++=apical
scales ^nns++++=scales
on ^in++++=on
the ^ati++++=the
endoperidium ^nn+++??+=endoperidium.
. ^zz++++=EXTRAWORD
The ^ati++++=The
endoperidium ^nn+++??+=endoperidium
and ^cc++++=and
spore ^nn+++??+=spore
sac ^nn+++??+=sac
are ^vb+ber+vrb++=are
hemispherical ^jj+pred+++=hemispherical
to ^in++++=to
conical ^jj++++=conical,
, ^zz++++=EXTRAWORD
with ^in++++=with
diameters ^nns+nom+++=diameters
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
2.8 ^cd++++=2.8
cm ^nnu++++=cm
to ^to++++=to
7.2 ^cd++++=7.2
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subsequently ^rb+tm+++=subsequently
split ^vbd+++xvbn+=split
circularly ^jj++++=circularly
along ^in++++=along
the ^ati++++=the
middle ^nn++++=middle
before ^in++++=before
deteriorating ^nn++++=deteriorating.
. ^zz++++=EXTRAWORD
The ^ati++++=The
volva ^nn+++??+=volva
is ^vbz+bez+vrb++=is
membranous ^jj+pred+++=membranous,
, ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
15 ^cd++++=15
cm ^nnu++++=cm
in ^in++++=in
diameter ^nn+nom+++=diameter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exhibits ^nns++++=exhibits
a ^at++++=a
color ^nn++++=color
and ^cc++++=and
surface ^nn++++=surface
texture ^nn++++=texture
similar ^jj++++=similar
to ^in++++=to
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
stipe ^nn+++??+=stipe,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
partially ^rb+down+splt++=partially
attached ^vpsv++agls+xvbnx+=attached
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
( ^zz++++=(Rea
rea ^nn+++??+=EXTRAWORD
1942 ^cd+date+++=1942;
; ^zz++++=EXTRAWORD
Garrido ^np+++??+=Garrido-Benavent
- ^zz++++=EXTRAWORD
benavent ^jj++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
campi ^np++++=Campi
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016b ^cd++++=2016b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
