Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
hard ^jj+atrb+++=hard
and ^cc+phrs+++=and
fibrous ^jj+atrb+++=fibrous
pseudostipe ^nn+++??+=pseudostipe,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
extends ^vbz++++=extends
into ^in++++=into
the ^ati++++=the
gleba ^nn+++??+=gleba.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gleba ^nn+++??+=gleba
is ^vbz+bez+aux++=is
enclosed ^vpsv++by+xvbnx+=enclosed
by ^in++++=by
a ^at++++=a
scaly ^jj++++=scaly,
, ^zz++++=EXTRAWORD
sub ^nn++++=sub-cylindrical
- ^zz++++=EXTRAWORD
cylindrical ^jj+atrb+++=EXTRAWORD
peridium ^nn+++??+=peridium
that ^tht+rel+subj++=that
becomes ^vbz++++=becomes
dark ^jj++++=dark
and ^cc+phrs+++=and
powdery ^jj++++=powdery
at ^in++++=at
maturity ^nn+nom+++=maturity
( ^zz++++=(Morse
morse ^nn++++=EXTRAWORD
1933 ^cd+date+++=1933).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
