When ^wrb+who+++=When
Martinez ^np+++??+=Martinez
says ^vbz+vpub+++=says
pardon ^nn++++=pardon?
? ^zz++++=EXTRAWORD
, ^zz++++=,
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
solely ^rb++++=solely
a ^at++++=a
response ^nn++++=response
to ^in++++=to
a ^at++++=a
hearing ^jj+atrb++xvbg+=hearing
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
preceding ^jj+atrb++xvbg+=preceding
statement ^nn+nom+++=statement
was ^vbd+bedz+aux++=was
delivered ^vpsv++agls+xvbnx+=delivered
in ^in++++=in
a ^at++++=a
clear ^jj+atrb+++=clear
and ^cc+phrs+++=and
loud ^jj+atrb+++=loud
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
function ^nn+nom+++=function
as ^ql++++=as
a ^at++++=a
persuasive ^jj+atrb+++=persuasive
strategy ^nn++++=strategy
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
prompt ^vbi++++=prompt
the ^ati++++=the
witness ^nns+nom+++=witness
to ^to++++=to
repeat ^vbi++++=repeat
her ^pp$+pp3+++=her
previous ^jj+atrb+++=previous
explanation ^nn+nom+++=explanation,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
eliciting ^vbg+++xvbg+=eliciting
a ^at++++=a
statement ^nn+nom+++=statement
that ^tht+ncmp+++=that
could ^md+pos+++=could
serve ^vb++++=serve
as ^ql++++=as
incriminating ^jj+atrb++xvbg+=incriminating
evidence ^nn+nom+++=evidence.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response,
, ^zz++++=EXTRAWORD
the ^ati++++=the
witness ^nns+nom+++=witness
reformulates ^nns+nom+++=reformulates
her ^pp3o+pp3+++=her
utterance ^nn+nom+++=utterance,
, ^zz++++=EXTRAWORD
replacing ^vbg+++xvbg+=replacing
the ^ati++++=the
phrase ^nn++++=phrase
" ^zz++++="having
having ^vbg+hvg++xvbg+=EXTRAWORD
sex ^nn++++=sex"
" ^zz++++=EXTRAWORD
with ^in++++=with
" ^zz++++="otherwise
otherwise ^rb+cnj+++=EXTRAWORD
engaged ^vbd+++xvbn+=engaged,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
more ^rbr++++=more
polite ^jj+pred+++=polite
and ^cc+phrs+++=and
likely ^jj++++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
acceptable ^jj+pred+++=acceptable
to ^in++++=to
the ^ati++++=the
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
linguistic ^jj+atrb+++=linguistic
adjustment ^nn+nom+++=adjustment
enables ^vbz++++=enables
her ^pp$+pp3+++=her
to ^to++++=to
construct ^vbi++++=construct
a ^at++++=a
more ^rbr++++=more
positive ^jj+atrb+++=positive
self ^nn++++=self-image,
- ^zz++++=EXTRAWORD
image ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
jury ^nn++++=jury,
, ^zz++++=EXTRAWORD
by ^in++++=by
presenting ^xvbg+++xvbg+=presenting
herself ^ppl+pp3+++=herself
as ^in++++=as
civilized ^jj++++=civilized
and ^cc+phrs+++=and
ladylike ^jj++++=ladylike.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
this ^dt+dem+++=this
paraphrase ^nn++++=paraphrase,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
addresses ^nns+nom+++=addresses
a ^at++++=a
potentially ^rb++++=potentially
negative ^jj+atrb+++=negative
aspect ^nn++++=aspect
of ^in++++=of
her ^pp$+pp3+++=her
prior ^jj+atrb+++=prior
statement ^nn+nom+++=statement
and ^cc++++=and
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
qualities ^nns+nom+++=qualities
she ^pp3a+pp3+++=she
wishes ^vb++++=wishes
to ^to+vcmp+++=to
project ^vb++++=project,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
recognized ^vbn+vprv++xvbn+=recognized
as ^ql++++=as
a ^at++++=a
respectful ^jj+atrb+++=respectful
individual ^nn+nom+++=individual.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
strategy ^nn++++=strategy
aligns ^nns+++??+=aligns
with ^in++++=with
what ^wdt+who+++=what
Scollon ^np+++??+=Scollon
and ^cc++++=and
Scollon ^np+++??+=Scollon
( ^zz++++=(1983)
1983 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
refer ^vb++++=refer
to ^to++++=to
as ^cs+sub+++=as
deference ^nn+nom+++=deference
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
deliberately ^rb++++=deliberately
selects ^vbz++++=selects
a ^at++++=a
more ^rbr++++=more
polite ^jj+atrb+++=polite
and ^cc+phrs+++=and
respectful ^jj+atrb+++=respectful
expression ^nn++++=expression
than ^in++++=than
the ^ati++++=the
one ^cd1++++=one
previously ^rb+tm+++=previously
used ^vpsv++agls+xvbn+=used.
. ^zz++++=EXTRAWORD
