According ^in+cmpx+++=According
to ^in++++=to
Freire ^np+++??+=Freire
( ^zz++++=(1970),
1970 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
the ^ati++++=the
" ^zz++++="viable
viable ^jj++++=EXTRAWORD
unheard ^jj++++=unheard
of ^in++++=of"
" ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
various ^jj+atrb+++=various
active ^jj+atrb+++=active
community ^nn+nom+++=community
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Gpb ^np+++??+=GPB,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
other ^ap++++=other
initiatives ^nns++++=initiatives
that ^tht+rel+subj++=that
adapt ^vb++++=adapt
these ^dt+dem+++=these
principles ^nns++++=principles
to ^in++++=to
address ^nns+nom+++=address
local ^jj+atrb+++=local
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
exemplified ^xvbn+++xvbn+=exemplified
by ^in++++=by
programs ^nns+++??+=programs
like ^in++++=like
Brincadas ^np+++??+=Brincadas
and ^cc++++=and
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Lace ^nn++++=LACE
Research ^nn++++=Research
Group ^nn++++=Group
has ^vbz+hvz+aux++=has
reinterpreted ^vprf+++xvbnx+=reinterpreted
Gpb ^np+++??+=GPB
s ^zz++++=s
principles ^nns++++=principles
within ^in++++=within
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation
also ^rb++++=also
highlights ^nns++++=highlights
the ^ati++++=the
multidisciplinary ^nn+nom+++=multidisciplinary
nature ^nn++++=nature
of ^in++++=of
Applied ^jj+atrb++xvbn+=Applied
Linguistics ^nn++++=Linguistics
( ^zz++++=(AL),
al ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
served ^vprf+++xvbnx+=served
as ^ql++++=as
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
and ^cc+phrs+++=and
methodological ^jj+atrb+++=methodological
foundation ^nn+nom+++=foundation
for ^in++++=for
Lace ^nn++++=LACE
over ^in++++=over
the ^ati++++=the
years ^nns++++=years.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
group ^nn++++=group,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
integrate ^nn+nom+++=integrate
language ^nn+nom+++=language
research ^nn++++=research
with ^in++++=with
social ^jj+atrb+++=social
engagement ^nn+nom+++=engagement,
, ^zz++++=EXTRAWORD
both ^abx++++=both
as ^in++++=as
an ^at++++=an
integral ^jj+atrb+++=integral
component ^nn++++=component
of ^in++++=of
ongoing ^nn++++=ongoing
learning ^vwbg+vprv++xvbg+=learning
processes ^nns+nom+++=processes
and ^cc++++=and
as ^in++++=as
a ^at++++=a
means ^nn++++=means
of ^in++++=of
fostering ^xvbg+++xvbg+=fostering
individual ^jj+atrb+++=individual
and ^cc+phrs+++=and
collective ^jj+atrb+++=collective
transformation ^nn+nom+++=transformation
through ^in++++=through
critical ^jj+atrb+++=critical
and ^cc+phrs+++=and
responsive ^jj+atrb+++=responsive
action ^nn++++=action.
. ^zz++++=EXTRAWORD
