Cheating ^nvbg+++xvbg+=Cheating
interactions ^nns+nom+++=interactions
can ^md+pos+++=can
promote ^vb++++=promote
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
in ^in++++=in
mutualistic ^jj+atrb+++=mutualistic
networks ^nns++++=networks
by ^in++++=by
generating ^xvbg+++xvbg+=generating
clusters ^nns+nom+++=clusters
of ^in++++=of
species ^nn++++=species
traits ^nns++++=traits
at ^in++++=at
certain ^jj+atrb+++=certain
frequencies ^nns++++=frequencies.
. ^zz++++=EXTRAWORD
At ^rb++++=At
intermediate ^jj+atrb+++=intermediate
frequencies ^nns++++=frequencies
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
the ^ati++++=the
combined ^jj+atrb++xvbn+=combined
effects ^nns++++=effects
of ^in++++=of
mutualistic ^jj+atrb+++=mutualistic
selection ^nn+nom+++=selection,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
favors ^nns++++=favors
trait ^nn++++=trait
matching ^vwbg+++xvbg+=matching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cheater ^jjr+atrb+++=cheater
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
favor ^nn++++=favor
trait ^nn++++=trait
mismatching ^vwbg+++xvbg+=mismatching,
, ^zz++++=EXTRAWORD
result ^nn++++=result
in ^in++++=in
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
trait ^nn++++=trait
clusters ^nns+nom+++=clusters.
. ^zz++++=EXTRAWORD
Theoretical ^jj+atrb+++=Theoretical
evidence ^nn+nom+++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
positive ^jj++++=positive
to ^in++++=to
negative ^jj+atrb+++=negative
effects ^nns++++=effects
between ^in++++=between
species ^nn++++=species
in ^in++++=in
real ^jj+atrb+++=real
communities ^nns+nom+++=communities
is ^vbz+bez+vrb++=is
approximately ^rb+down+++=approximately
1:1 ^cd++++=1:1
( ^zz++++=(Dodds
dodds ^nns+++??+=EXTRAWORD
1997 ^cd+date+++=1997).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
increase ^nn++++=increase
in ^in++++=in
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
trait ^nn++++=trait
clusters ^nns+nom+++=clusters
at ^in++++=at
intermediate ^jj+atrb+++=intermediate
levels ^nns++++=levels
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
may ^md+pos+++=may
be ^vb+be+vrb++=be
empirically ^rb++++=empirically
testable ^jj+pred+++=testable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+nom+++=prevalence
of ^in++++=of
cheaters ^nns+nom+++=cheaters
may ^md+pos+++=may
be ^vb+be+aux++=be
underestimated ^vprf+++xvbn+=underestimated
in ^in++++=in
empirical ^jj+atrb+++=empirical
networks ^nns++++=networks
( ^zz++++=(Genini
genini ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
part ^nn++++=part
due ^jj++++=due
to ^in+jcmp+++=to
substantial ^jj+atrb+++=substantial
behavioral ^jj+atrb+++=behavioral
plasticity ^nn+nom+++=plasticity
among ^in++++=among
interacting ^jj+atrb+++=interacting
individuals ^nns+nom+++=individuals
( ^zz++++=(Bronstein
bronstein ^nn+++??+=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Intraspecific ^np+++??+=Intraspecific
variation ^nn+nom+++=variation
that ^tht+rel+obj++=that
generates ^nns+nom+++=generates
behavioral ^jj+atrb+++=behavioral
plasticity ^nn+nom+++=plasticity
may ^md+pos+++=may
significantly ^rb++++=significantly
influence ^nn+nom+++=influence
individual ^jj+atrb+++=individual
fitness ^nns+nom+++=fitness
and ^cc++++=and
occasionally ^rb++++=occasionally
result ^nn++++=result
in ^in++++=in
cheating ^xvbg+++xvbg+=cheating
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
in ^in++++=in
mutualistic ^jj+atrb+++=mutualistic
interactions ^nns+nom+++=interactions
may ^md+pos+++=may
be ^vb+be+vrb++=be
higher ^jjr+pred+++=higher
than ^in++++=than
previously ^rb+tm+++=previously
assumed ^vbd+vprv++xvbn+=assumed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
future ^jjb+atrb+++=future
research ^nn++++=research
would ^md+prd+++=would
benefit ^vb++++=benefit
from ^in++++=from
measuring ^nn++++=measuring
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
in ^in++++=in
empirical ^jj+atrb+++=empirical
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
