Although ^cs+con+++=Although
two ^cd++++=two-part
- ^zz++++=EXTRAWORD
part ^nn++++=EXTRAWORD
adjacency ^nn+++??+=adjacency
pairs ^nns++++=pairs
are ^vb+ber+vrb++=are
prevalent ^jj+pred+++=prevalent
in ^in++++=in
conversation ^nn+nom+++=conversation,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
framework ^nn++++=framework
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
all ^abn++++=all
types ^nns++++=types
of ^in++++=of
spoken ^jj+atrb++xvbn+=spoken
interaction ^nn+nom+++=interaction.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
classroom ^nn++++=classroom
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
interrogations ^nns+nom+++=interrogations,
, ^zz++++=EXTRAWORD
service ^nn++++=service
encounters ^nns+nom+++=encounters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
various ^jj++++=various
other ^ap++++=other
forms ^nns++++=forms
of ^in++++=of
everyday ^jjb+atrb+++=everyday
communication ^nn+nom+++=communication
often ^rb++++=often
involve ^vb++++=involve
exchanges ^nns++++=exchanges
that ^tht+rel+subj++=that
include ^vb++++=include
a ^at++++=a
third ^od++++=third
move ^vb++++=move.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
conversational ^jj+atrb+++=conversational
routines ^nns++++=routines
provide ^vb+vsua+++=provide
participants ^nns+nom+++=participants
with ^in++++=with
the ^ati++++=the
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
confirm ^vbi+vpub+++=confirm
mutual ^jj++++=mutual
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
preceding ^jj+atrb++xvbg+=preceding
pair ^nn++++=pair's
's ^$++++=EXTRAWORD
function ^nn+nom+++=function,
, ^zz++++=EXTRAWORD
to ^in++++=to
comment ^nn+nom+++=comment
on ^in++++=on
the ^ati++++=the
ongoing ^jj+atrb++xvbg+=ongoing
exchange ^nn++++=exchange,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
respond ^vbi++++=respond
to ^in++++=to
the ^ati++++=the
reply ^nn++++=reply
within ^in++++=within
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
initial ^jj+atrb+++=initial
utterance ^nn+nom+++=utterance
( ^zz++++=(Sinclair,
sinclair ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
85 ^cd++++=85).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
