Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
plicate ^nn+nom+++=plicate
peridium ^nn+++??+=peridium
present ^vb++++=present
on ^in++++=on
both ^abx++++=both
the ^ati++++=the
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
peridioles ^nns+++??+=peridioles
measuring ^vwbg+++xvbg+=measuring
7 ^zz++++=7
10 ^cd++++=10
mm ^nnu++++=mm
6 ^zz++++=6
7 ^zz++++=7
mm ^nnu++++=mm
with ^in++++=with
a ^at++++=a
bilayered ^jj+atrb++xvbn+=bilayered
cortex ^nn++++=cortex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peridioles ^nns+++??+=peridioles
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
dark ^jj++++=dark
brown ^jj++++=brown
to ^in++++=to
black ^nn++++=black
in ^in++++=in
color ^nn++++=color.
. ^zz++++=EXTRAWORD
The ^ati++++=The
basidiospores ^nns+++??+=basidiospores
measure ^vb++++=measure
10 ^cd++++=10
12 ^cd++++=12
16 ^cd++++=16
22 ^cd++++=22
m ^zz++++=m.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
woolly ^jj++++=woolly
golden ^jj++++=golden-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
subiculum ^nn+++??+=subiculum
is ^vbz+bez+aux++=is
formed ^vpsv++agls+xvbnx+=formed
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
pseudostipe ^nn+++??+=pseudostipe,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
further ^jjb++++=further
diagnostic ^jj++++=diagnostic
characteristic ^jj++++=characteristic
( ^zz++++=(Brodie
brodie ^nn+++??+=EXTRAWORD
& ^zz++++=&
Dennis ^np++++=Dennis
954 ^cd+date+++=1954;
 ^zz++++=EXTRAWORD
Trierveiler ^np+nom+++=Trierveiler-Pereira
 ^zz++++=EXTRAWORD
Pereira ^nn++++=EXTRAWORD
 ^zz++++=&
Baseia ^np++++=Baseia
010 ^cd++++=2010).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
