It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
aforementioned ^jj+atrb++xvbn+=aforementioned
processes ^nns+nom+++=processes
are ^vb+ber+aux++=are
ongoing ^vbg+++xvbgx+=ongoing.
. ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
the ^ati++++=the
reorientation ^nn+nom+++=reorientation
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
occurred ^vprf+++xvbnx+=occurred
within ^in++++=within
mainstream ^nn++++=mainstream
economics ^nn++++=economics
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
reasonable ^jj+pred+++=reasonable
to ^to+jcmp+++=to
anticipate ^nn+nom+++=anticipate
that ^tht+vcmp+++=that
orthodox ^jj+atrb+++=orthodox
theory ^nn++++=theory
may ^md+pos+++=may
increasingly ^rb++splt++=increasingly
incorporate ^nn+nom+++=incorporate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
in ^in++++=in
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
