During ^in++++=During
the ^ati++++=the
first ^od++++=first
year ^nn++++=year
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^jj++++=pandemic
( ^zz++++=(2020-2021
2020 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2021 ^cd++++=EXTRAWORD
academic ^jj+atrb+++=academic
year ^nn++++=year),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
applications ^nns+nom+++=applications
to ^in++++=to
health ^nn++++=health
sciences ^nns+nom+++=sciences
programs ^vbz+++??+=programs
increased ^vpsv++by+xvbn+=increased
by ^in++++=by
17 ^cd++++=17%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
applications ^nns+nom+++=applications
to ^in++++=to
natural ^jj+atrb+++=natural
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
mathematics ^nn++++=mathematics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
statistics ^nns++++=statistics
programs ^nns+++??+=programs
increased ^vwbn+++xvbn+=increased
by ^in++++=by
22 ^cd++++=22%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
which ^whp+rel+pied++=which
exceeded ^vbd+++xvbn+=exceeded
the ^ati++++=the
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
increase ^vb++++=increase
observed ^vbd+vprv++xvbn+=observed
across ^in+pl+++=across
other ^ap++++=other
fields ^nns++++=fields
of ^in++++=of
study ^nn++++=study
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
previous ^jj++++=previous,
, ^zz++++=EXTRAWORD
pre ^nn+++??+=pre-pandemic
- ^zz++++=EXTRAWORD
pandemic ^jj+atrb+++=EXTRAWORD
academic ^jj+atrb+++=academic
year ^nn++++=year
( ^zz++++=(2019-2020).
2019 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
higher ^jjr+atrb+++=higher
number ^nn++++=number
of ^in++++=of
applications ^nns+nom+++=applications
in ^in++++=in
both ^abx++++=both
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
enrollment ^nn+nom+++=enrollment
was ^vbd+bedz+aux++=was
constrained ^vpsv++by+xvbnx+=constrained
by ^in++++=by
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
availability ^nn+nom+++=availability
of ^in++++=of
places ^nns++++=places,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
decrease ^vb++++=decrease
in ^in++++=in
first ^od++++=first-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
health ^nn++++=health
sciences ^nns+nom+++=sciences
students ^nns++++=students
and ^cc++++=and
a ^at++++=a
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
increase ^nn++++=increase
in ^in++++=in
first ^od++++=first-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
students ^nns++++=students
in ^in++++=in
science ^nn+nom+++=science-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
programs ^nns+++??+=programs.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
disparity ^nn+nom+++=disparity
highlights ^nns++++=highlights
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
examine ^vb++++=examine
the ^ati++++=the
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
the ^ati++++=the
application ^nn+nom+++=application
and ^cc++++=and
enrollment ^nn+nom+++=enrollment
processes ^nns+nom+++=processes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
indicate ^nn+nom+++=indicate
a ^at++++=a
clear ^nn++++=clear
rise ^vb++++=rise
in ^in++++=in
demand ^nn++++=demand
for ^in++++=for
both ^abx++++=both
fields ^nns++++=fields;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
modest ^jj+atrb+++=modest
increase ^nn++++=increase
in ^in++++=in
science ^nn+nom+++=science
enrollments ^nns+nom+++=enrollments
and ^cc++++=and
a ^at++++=a
notable ^jj+atrb+++=notable
decrease ^nn++++=decrease
in ^in++++=in
health ^nn++++=health
sciences ^nns+nom+++=sciences
enrollments ^nns+nom+++=enrollments.
. ^zz++++=EXTRAWORD
