Among ^in++++=Among
individuals ^nns+nom+++=individuals
exhibiting ^vwbg+++xvbg+=exhibiting
severe ^jj+atrb+++=severe
levels ^nns++++=levels
of ^in++++=of
selfitis ^nns+++??+=selfitis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
scores ^nns++++=scores
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
" ^zz++++="attention
attention ^nn+nom+++=EXTRAWORD
seeking ^vwbg+++xvbg+=seeking"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="social
social ^jj+atrb+++=EXTRAWORD
competition ^nn+nom+++=competition"
" ^zz++++=EXTRAWORD
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="social
social ^jj+atrb+++=EXTRAWORD
competition ^nn+nom+++=competition"
" ^zz++++=EXTRAWORD
factor ^nn++++=factor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
various ^jj+atrb+++=various
behaviors ^nns++++=behaviors
such ^abl++++=such
as ^ql++++=as
compulsive ^jj+atrb+++=compulsive
gambling ^nn+nom+++=gambling
and ^cc++++=and
substance ^nn+nom+++=substance
use ^nn++++=use
( ^zz++++=(Balakrishnan
balakrishnan ^jj+atrb+++=EXTRAWORD
& ^zz++++=&
Griffiths ^np++++=Griffiths,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
second ^od++++=second
highest ^jjt++++=highest
mean ^vb+vprv+++=mean
score ^nn++++=score
( ^zz++++=(3.45)
3.45 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
five ^cd++++=five
factors ^nns++++=factors
assessed ^vwbn+++xvbn+=assessed
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
strong ^jj+atrb+++=strong
association ^nn+nom+++=association
with ^in++++=with
severe ^jj+atrb+++=severe
selfitis ^nns+++??+=selfitis
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
severity ^nn+nom+++=severity
level ^nn++++=level,
, ^zz++++=EXTRAWORD
behaviors ^nns++++=behaviors
such ^abl++++=such
as ^ql++++=as
sharing ^xvbg+++xvbg+=sharing
selfies ^vbz++++=selfies
in ^in++++=in
various ^jj+atrb+++=various
poses ^nns++++=poses,
, ^zz++++=EXTRAWORD
anticipating ^vbg+vprv++xvbg+=anticipating
" ^zz++++="likes"
likes ^vbz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
comments ^nns+nom+++=comments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
utilizing ^jj+atrb++xvbg+=utilizing
image ^nn++++=image
editing ^vwbg+++xvbg+=editing
tools ^nns++++=tools
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
particularly ^rb++++=particularly
prominent ^jj+pred+++=prominent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="attention
attention ^nn+nom+++=EXTRAWORD
seeking ^vwbg+++xvbg+=seeking"
" ^zz++++=EXTRAWORD
factor ^nn++++=factor
recorded ^vbd+vpub+tht0+xvbn+=recorded
the ^ati++++=the
highest ^nn++++=highest
mean ^vb+vprv+++=mean
score ^nn++++=score
( ^zz++++=(4.02),
4.02 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
with ^in++++=with
severe ^jj+atrb+++=severe
selfitis ^nns+++??+=selfitis
are ^vb+ber+aux++=are
highly ^rb+amp+splt++=highly
motivated ^vpsv++by+xvbnx+=motivated
by ^in++++=by
the ^ati++++=the
desire ^nn++++=desire
for ^in++++=for
attention ^nn+nom+++=attention
on ^in++++=on
social ^jj+atrb+++=social
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
including ^in++++=including
seeking ^xvbg+++xvbg+=seeking
" ^zz++++="likes,"
likes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
positive ^jj+atrb+++=positive
feedback ^nn+++??+=feedback,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
popularity ^nn+nom+++=popularity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
investing ^nvbg+++xvbg+=investing
significant ^jj+atrb+++=significant
time ^nn++++=time
in ^in++++=in
editing ^xvbg+++xvbg+=editing
images ^nns++++=images
for ^in++++=for
sharing ^xvbg+++xvbg+=sharing.
. ^zz++++=EXTRAWORD
Positive ^jj+atrb+++=Positive
feedback ^nn+++??+=feedback
on ^in++++=on
posts ^nns++++=posts
may ^md+pos+++=may
reinforce ^vb++++=reinforce
self ^nn++++=self-confidence
- ^zz++++=EXTRAWORD
confidence ^nn+nom+++=EXTRAWORD
and ^cc++++=and
fulfill ^vb++++=fulfill
personal ^jj+atrb+++=personal
expectations ^nns+nom+++=expectations
( ^zz++++=(Boursier
boursier ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Manna ^nn++++=Manna,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
attention ^nn+nom+++=attention
seeking ^vwbg+++xvbg+=seeking
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
narcissistic ^jj+atrb+++=narcissistic
component ^nn++++=component
( ^zz++++=(Khan
khan ^npt++++=EXTRAWORD
& ^zz++++=&
Imran ^np+++??+=Imran,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
Mccain ^np+++??+=McCain
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
of ^in++++=of
a ^at++++=a
positive ^jj+atrb+++=positive
relationship ^nn+nom+++=relationship
between ^in++++=between
self ^nn++++=self-promoting
- ^zz++++=EXTRAWORD
promoting ^xvbg+++xvbg+=EXTRAWORD
selfies ^vbz++++=selfies
on ^in++++=on
social ^jj+atrb+++=social
media ^nns++++=media
and ^cc++++=and
narcissism ^nn+nom+++=narcissism
levels ^nns++++=levels
( ^zz++++=(Gnambs,
gnambs ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="attention
attention ^nn+nom+++=EXTRAWORD
seeking ^vwbg+++xvbg+=seeking"
" ^zz++++=EXTRAWORD
factor ^nn++++=factor
is ^vbz+bez+aux++=is
strongly ^rb+amp+splt++=strongly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
severe ^jj+atrb+++=severe
selfitis ^nns+++??+=selfitis,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
findings ^nns++++=findings
from ^in++++=from
previous ^jj+atrb+++=previous
studies ^nns++++=studies
( ^zz++++=(Balakrishnan
balakrishnan ^jj+atrb+++=EXTRAWORD
& ^zz++++=&
Griffiths ^np++++=Griffiths,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Seidman ^np+++??+=Seidman,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Haggard ^jj++++=Haggard
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
may ^md+pos+++=may
prioritize ^vb++++=prioritize
displaying ^vbg+++xvbg+=displaying
their ^pp$+pp3+++=their
experiences ^nns+nom+++=experiences
over ^in++++=over
engaging ^nn++++=engaging
with ^in++++=with
them ^pp3o+pp3+++=them
directly ^rb+cnj+++=directly,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
a ^at++++=a
persistent ^jj+atrb+++=persistent
pursuit ^nn++++=pursuit
of ^in++++=of
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
