Our ^pp$+pp1+++=Our
simulations ^nns+nom+++=simulations
characterize ^vb++++=characterize
the ^ati++++=the
temporal ^jj+atrb+++=temporal
evolution ^nn+nom+++=evolution
of ^in++++=of
the ^ati++++=the
mean ^jj+atrb+++=mean
trait ^nn++++=trait
Z ^zz++++=Z
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1a ^cd++++=1a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
model ^nn++++=model
parameters ^nns+nom+++=parameters
and ^cc++++=and
their ^pp$+pp3+++=their
descriptions ^nns+nom+++=descriptions
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
simulation ^nn+nom+++=simulation
was ^vbd+bedz+aux++=was
run ^vpsv++agls+xvbnx+=run
for ^in++++=for
a ^at++++=a
maximum ^nn++++=maximum
of ^in++++=of
1000 ^cd++++=1000
timesteps ^nns+++??+=timesteps,
, ^zz++++=EXTRAWORD
a ^at++++=a
duration ^nn+nom+++=duration
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
allow ^vbi++++=allow
trait ^nn++++=trait
values ^nns++++=values
to ^in++++=to
approach ^nn++++=approach
their ^pp$+pp3+++=their
asymptotic ^jj+atrb+++=asymptotic
states ^nns++++=states.
. ^zz++++=EXTRAWORD
In ^in++++=In
most ^ql+emph+++=most
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
equilibrium ^nn++++=equilibrium
was ^vbd+bedz+aux++=was
attained ^vpsv++agls+xvbnx+=attained
before ^in++++=before
reaching ^xvbg+++xvbg+=reaching
1000 ^cd++++=1000
timesteps ^nns+++??+=timesteps.
. ^zz++++=EXTRAWORD
To ^to++++=To
optimize ^vbi++++=optimize
computational ^jj+atrb+++=computational
efficiency ^nn++++=efficiency,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
defined ^vbd+++xvbn+=defined
equilibrium ^nn++++=equilibrium
as ^in++++=as
the ^ati++++=the
point ^nn++++=point
at ^rb++++=at
which ^whp+who+++=which
|zi(t+1 ^nn+++??+=|Zi(t+1)
) ^zz++++=EXTRAWORD
Zi(t)| ^np+++??+=Zi(t)|
< ^zz++++=<
10^ ^cd++++=10^-4
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
for ^in++++=for
every ^at++++=every
species ^nn++++=species
i ^pp1a+pp1+++=i,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
time ^nn++++=time
the ^ati++++=the
simulation ^nn+nom+++=simulation
was ^vbd+bedz+aux++=was
terminated ^vpsv++agls+xvbnx+=terminated.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
72,000 ^cd++++=72,000
simulations ^nns+nom+++=simulations
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted,
, ^zz++++=EXTRAWORD
with ^in++++=with
3,000 ^cd++++=3,000
simulations ^nns+nom+++=simulations
per ^in++++=per
empirical ^jj+atrb+++=empirical
network ^nn++++=network;
; ^zz++++=EXTRAWORD
each ^dt++++=each
simulation ^nn+nom+++=simulation
tracked ^vbd+++xvbn+=tracked
the ^ati++++=the
temporal ^jj+atrb+++=temporal
dynamics ^nn++++=dynamics
of ^in++++=of
species ^nn++++=species
traits ^nns++++=traits
under ^in++++=under
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
coevolution ^nn+nom+++=coevolution
and ^cc++++=and
environmental ^jj+atrb+++=environmental
selective ^jj+atrb+++=selective
pressures ^nns++++=pressures
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1a ^cd++++=1a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
simulations ^nns+nom+++=simulations
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
R ^zz++++=R
version ^nn++++=version
3.5.3 ^cd++++=3.5.3
( ^zz++++=(R
r ^zz++++=EXTRAWORD
Core ^nn++++=Core
Team ^nn++++=Team
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
following ^jj+atrb++xvbg+=following
sections ^nns+nom+++=sections,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
describe ^vb++++=describe
how ^wrb+who+++=how
this ^dt+dem+++=this
modeling ^nn+nom+++=modeling
framework ^nn++++=framework
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
address ^nns+nom+++=address
each ^dt++++=each
of ^in++++=of
our ^pp$+pp1+++=our
three ^cd++++=three
research ^nn++++=research
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
