Transmission ^nn++++=Transmission
electron ^nn++++=electron
microscopy ^nn++++=microscopy
( ^zz++++=(TEM)
tem ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
on ^in++++=on
seeds ^nns++++=seeds
from ^in++++=from
each ^dt++++=each
treatment ^nn+nom+++=treatment
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
in ^in++++=in
2.5 ^cd++++=2.5%
% ^zz++++=EXTRAWORD
glutaraldehyde ^nn+++??+=glutaraldehyde
in ^in++++=in
0.1 ^nn+++??+=0.1
M ^zz++++=M
sodium ^nn++++=sodium
cacodylate ^nn+nom+++=cacodylate
buffer ^nn++++=buffer
( ^zz++++=(pH
ph ^nn++++=EXTRAWORD
7.2 ^cd++++=7.2)
) ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
0.2 ^nn+++??+=0.2
M ^zz++++=M
sucrose ^nn+++??+=sucrose
at ^rb++++=at
4 ^zz++++=4
C ^zz++++=C
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
five ^cd++++=five
washes ^nns++++=washes
in ^in++++=in
0.3 ^nn+++??+=0.3
M ^zz++++=M
sodium ^nn++++=sodium
cacodylate ^nn+nom+++=cacodylate
buffer ^nn++++=buffer
( ^zz++++=(pH
ph ^nn++++=EXTRAWORD
7.2 ^cd++++=7.2)
) ^zz++++=EXTRAWORD
with ^in++++=with
0.6 ^nn+++??+=0.6
M ^zz++++=M
sucrose ^nn+++??+=sucrose
and ^cc++++=and
water ^nn++++=water,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
sucrose ^nn+++??+=sucrose
concentration ^nn+nom+++=concentration
reduced ^vwbn+++xvbn+=reduced
by ^in++++=by
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
in ^in++++=in
each ^ppls++++=each
wash ^np++++=wash.
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
post ^nn++++=post-fixed
- ^zz++++=EXTRAWORD
fixed ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
osmium ^nn+++??+=osmium
tetroxide ^nn++++=tetroxide
and ^cc++++=and
0.2 ^nn+++??+=0.2
M ^zz++++=M
sodium ^nn++++=sodium
cacodylate ^nn+nom+++=cacodylate
buffer ^nn++++=buffer
( ^zz++++=(pH
ph ^nn++++=EXTRAWORD
7.2 ^cd++++=7.2)
) ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
1:1 ^cd++++=1:1
( ^zz++++=(v/v)
v ^zz++++=EXTRAWORD
ratio ^nn++++=ratio
for ^in++++=for
4 ^zz++++=4
hours ^nns++++=hours
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature.
. ^zz++++=EXTRAWORD
