Characterization ^nn+nom+++=Characterization
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area
This ^dt+dem+++=This
study ^nn++++=study
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
a ^at++++=a
forest ^nn++++=forest
fragment ^nn+nom+++=fragment
situated ^vwbn+++xvbn+=situated
within ^in++++=within
the ^ati++++=the
Guarni ^np+++??+=Guarni
o ^zz++++=o
da ^np++++=da
Aeron ^np+++??+=Aeron
utica ^nn+++??+=utica
de ^&fw++++=de
Pirassununga ^np+++??+=Pirassununga
( ^zz++++=(FAYS),
fays ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^in++++=at
latitude ^nn++++=latitude
21 ^cd++++=21
59'39.98 ^cd++++=59'39.98"
" ^zz++++=EXTRAWORD
S ^zz++++=S
and ^cc++++=and
longitude ^nn+++??+=longitude
47 ^cd++++=47
20'12.73 ^cd++++=20'12.73"
" ^zz++++=EXTRAWORD
W ^zz++++=W,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
municipality ^nn+nom+++=municipality
of ^in++++=of
Pirassununga ^np+++??+=Pirassununga,
, ^zz++++=EXTRAWORD
S ^zz++++=S
O ^zz++++=o
Paulo ^np++++=Paulo
State ^nn++++=State,
 ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
 ^zz++++=(Figure
Figure ^np++++=EXTRAWORD
 ^zz++++=1).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
