Another ^dt++++=Another
important ^jj+atrb+++=important
consideration ^nn+nom+++=consideration
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
the ^ati++++=the
outcomes ^nns+++??+=outcomes
of ^in++++=of
this ^dt+pdem+++=this
and ^cc++++=and
other ^ap++++=other
verification ^nn+nom+++=verification
systems ^nns++++=systems
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
for ^in++++=for
peer ^nn++++=peer
review ^nn++++=review,
, ^zz++++=EXTRAWORD
indexing ^jj+++xvbg+=indexing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
related ^xvbn+++xvbn+=related
components ^nns++++=components
will ^md+prd+++=will
be ^vb+be+aux++=be
communicated ^vpsv++agls+xvbnx+=communicated
to ^in++++=to
readers ^nns+nom+++=readers
and ^cc++++=and
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nns+nom+++=address
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
initiated ^vprf+++xvbnx+=initiated
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
a ^at++++=a
" ^zz++++="Publication
publication ^nn+nom+++=EXTRAWORD
Facts ^nns++++=Facts"
" ^zz++++=EXTRAWORD
label ^nn++++=label,
, ^zz++++=EXTRAWORD
modeled ^j+++xvbn+=modeled
after ^cs+sub+++=after
the ^ati++++=the
Fda ^np+++??+=FDA
Nutrition ^nn+nom+++=Nutrition
Facts ^nns++++=Facts
label ^nn++++=label
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
label ^nn++++=label
will ^md+prd+++=will
be ^vb+be+vrb++=be
subject ^nn++++=subject
to ^in++++=to
public ^jj+atrb+++=public
scrutiny ^nn++++=scrutiny
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
open ^jj+atrb+++=open
science ^nn+nom+++=science
principles ^nns++++=principles
and ^cc++++=and
will ^md+prd+++=will
be ^vb+be+aux++=be
evaluated ^vpsv++agls+xvbnx+=evaluated
and ^cc+phrs+++=and
refined ^vpsv++agls+xvbn+=refined
with ^in++++=with
input ^nn++++=input
from ^in++++=from
diverse ^jj+atrb+++=diverse
audiences ^nns+nom+++=audiences,
, ^zz++++=EXTRAWORD
including ^in++++=including
high ^jj+atrb+++=high
school ^nn++++=school
students ^nns++++=students
and ^cc++++=and
journalists ^nns+nom+++=journalists,
, ^zz++++=EXTRAWORD
to ^to++++=to
ensure ^vbi+vprv+++=ensure
its ^pp$+it+++=its
clarity ^nn+nom+++=clarity
and ^cc++++=and
comprehensibility ^nn+nom+++=comprehensibility
for ^in++++=for
both ^abx++++=both
researchers ^nns+nom+++=researchers
and ^cc++++=and
the ^ati++++=the
general ^jj++++=general
public ^jj++++=public.
. ^zz++++=EXTRAWORD
The ^ati++++=The
label ^nn++++=label,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
will ^md+prd+++=will
be ^vb+be+aux++=be
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
individual ^jj+atrb+++=individual
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
present ^vb++++=present
metrics ^nns++++=metrics
regarding ^in++++=regarding
compliance ^nn+nom+++=compliance
with ^in++++=with
established ^vbn+vprv++xvbn+=established
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
accompanied ^xvbn+++xvbn+=accompanied
by ^in++++=by
detailed ^jj+atrb+++=detailed
explanations ^nns+nom+++=explanations
of ^in++++=of
each ^dt++++=each
standard ^jj++++=standard
and ^cc++++=and
metric ^nn++++=metric.
. ^zz++++=EXTRAWORD
The ^ati++++=The
purpose ^nn++++=purpose
of ^in++++=of
this ^dt+dem+++=this
labeling ^nn+nom+++=labeling
system ^nn++++=system
is ^vbz+bez+aux++=is
to ^to++++=to
inform ^vbi++++=inform
and ^cc+phrs+++=and
educate ^nn+nom+++=educate
both ^abx++++=both
the ^ati++++=the
public ^nn++++=public
and ^cc++++=and
professionals ^nns+nom+++=professionals
about ^in++++=about
research ^nn++++=research
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
providing ^vbg+++xvbg+=providing
readers ^nns+nom+++=readers
with ^in++++=with
a ^at++++=a
concise ^jj+atrb+++=concise
tool ^nn++++=tool
to ^to++++=to
assess ^vbi++++=assess,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
further ^jjb++++=further
investigate ^nn+nom+++=investigate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trustworthiness ^nns+nom+++=trustworthiness
of ^in++++=of
research ^nn++++=research
publications ^nns+nom+++=publications.
. ^zz++++=EXTRAWORD
