Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+vrb++=is
similar ^jj+pred+++=similar
to ^in++++=to
L ^zz++++=L.
. ^zz++++=EXTRAWORD
lilacinum ^nn+++??+=lilacinum
but ^cc++++=but
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
the ^ati++++=the
gleba ^nn+++??+=gleba
and ^cc++++=and
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
fragile ^jj+atrb+++=fragile
peridium ^nn++++=peridium
( ^zz++++=(Spegazzini
spegazzini ^nn++++=EXTRAWORD
1884 ^cd+date+++=1884).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
