During ^in++++=During
the ^ati++++=the
school ^nn++++=school
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
early ^jj+atrb+++=early
human ^jj+atrb+++=human
history ^nn++++=history,
, ^zz++++=EXTRAWORD
mimetic ^jj+atrb+++=mimetic
behavior ^nn++++=behavior
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
physical ^jj+atrb+++=physical
stimuli ^nns++++=stimuli
and ^cc++++=and
physiological ^jj+atrb+++=physiological
responses ^nns++++=responses
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
self ^nn++++=self-preservation,
- ^zz++++=EXTRAWORD
preservation ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
fear ^nn++++=fear
playing ^vwbg+++xvbg+=playing
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
tend ^vb++++=tend
to ^to+vcmp+++=to
imitate ^nn+nom+++=imitate
the ^ati++++=the
behavior ^nn++++=behavior
of ^in++++=of
those ^dt+dem+++=those
perceived ^jj+++xvbn+=perceived
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
capable ^jj++++=capable
or ^cc++++=or
adapt ^vb++++=adapt
to ^in++++=to
their ^pp$+pp3+++=their
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
Adorno ^np+++??+=Adorno
( ^zz++++=(1993)
1993 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
identifies ^vbz++++=identifies
a ^at++++=a
connection ^nn+nom+++=connection
between ^in++++=between
archaic ^jj+atrb+++=archaic
mimicry ^nn++++=mimicry
and ^cc++++=and
the ^ati++++=the
persistence ^nn+nom+++=persistence
of ^in++++=of
such ^abl++++=such
behavior ^nn++++=behavior
in ^in++++=in
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
characterizing ^nn++++=characterizing
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
pre ^nn+++??+=pre-conceptual
- ^zz++++=EXTRAWORD
conceptual ^jj+atrb+++=EXTRAWORD
stage ^nn++++=stage
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
engaging ^nn++++=engaging
with ^in++++=with
and ^cc++++=and
understanding ^nvbg+++xvbg+=understanding
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Gebauer ^np+++??+=Gebauer
and ^cc++++=and
Wulf ^np+++??+=Wulf
( ^zz++++=(2004),
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Adorno ^np+++??+=Adorno
regards ^in++++=regards
mimesis ^nns+++??+=mimesis
as ^ql++++=as
a ^at++++=a
central ^jj+atrb+++=central
concept ^nn++++=concept
in ^in++++=in
the ^ati++++=the
educational ^jj+atrb+++=educational
process ^nns+nom+++=process
( ^zz++++=(Bildung),
bildung ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
arguing ^vbg+vpub++xvbg+=arguing
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
fundamental ^jj+pred+++=fundamental
to ^in++++=to
intersubjective ^jj+atrb+++=intersubjective
social ^jj+atrb+++=social
practices ^nns++++=practices
and ^cc++++=and
essential ^jj++++=essential
for ^in++++=for
the ^ati++++=the
development ^nn+nom+++=development
and ^cc++++=and
maintenance ^nn+nom+++=maintenance
of ^in++++=of
moral ^jj+atrb+++=moral
action ^nn++++=action
through ^in++++=through
imitation ^nn+nom+++=imitation.
. ^zz++++=EXTRAWORD
