Excerpt ^np+++??+=Excerpt
4 ^zz++++=4
illustrates ^nns+nom+++=illustrates
several ^ap++++=several
issues ^nns++++=issues
that ^tht+rel+obj++=that
participants ^nns+nom+++=participants
wished ^vbd+vprv++xvbn+=wished
were ^vbd+bed+vrb++=were
different ^jj+pred+++=different
in ^in++++=in
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
during ^in++++=during
the ^ati++++=the
workshop ^nn++++=workshop.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
these ^dt+pdem+++=these
issues ^vbz++++=issues
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
directly ^rb++++=directly
pertain ^vb+++??+=pertain
to ^in++++=to
the ^ati++++=the
participants ^nns+nom+++=participants'
' ^zz++++=EXTRAWORD
immediate ^jj+atrb+++=immediate
circumstances ^nns+nom+++=circumstances;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
discussion ^nn++++=discussion
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
elicit ^vbi++++=elicit
a ^at++++=a
collective ^jj+atrb+++=collective
sense ^nn++++=sense
of ^in++++=of
global ^jj+atrb+++=global
solidarity ^nn+nom+++=solidarity
and ^cc++++=and
shared ^jj+atrb++xvbn+=shared
responsibility ^nn+nom+++=responsibility,
, ^zz++++=EXTRAWORD
as ^in++++=as
evidenced ^nn++++=evidenced
by ^in++++=by
participants ^nns+nom+++=participants'
' ^zz++++=EXTRAWORD
reactions ^nns+nom+++=reactions
during ^in++++=during
the ^ati++++=the
session ^nn++++=session.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
pandemic ^nn++++=pandemic
was ^vbd+bedz+vrb++=was
a ^at++++=a
worldwide ^nn+++??+=worldwide
event ^nn++++=event,
, ^zz++++=EXTRAWORD
even ^rb++++=even
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
not ^xnot++not++=not
personally ^rb++++=personally
experienced ^jj+atrb++xvbn+=experienced
certain ^jj+atrb+++=certain
situations ^nns+nom+++=situations
were ^vbd+bed+vrb++=were
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
witnessed ^vprf+++xvbnx+=witnessed
similar ^jj+atrb+++=similar
cases ^nns++++=cases
or ^cc++++=or
to ^in++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbn+=been
aware ^jj+pred+++=aware
of ^in++++=of
them ^pp3o+pp3+++=them
through ^in++++=through
other ^ap++++=other
means ^nn++++=means.
. ^zz++++=EXTRAWORD
