Khamis ^np+++??+=Khamis
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=employed
high ^jj++++=high-frequency
- ^zz++++=EXTRAWORD
frequency ^nn++++=EXTRAWORD
phone ^nn++++=phone
surveys ^nns++++=surveys
to ^to++++=to
evaluate ^nn+nom+++=evaluate
the ^ati++++=the
initial ^jj+atrb+++=initial
effects ^nns++++=effects
of ^in++++=of
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
on ^in++++=on
labor ^nn++++=labor
markets ^nns++++=markets
in ^in++++=in
several ^ap++++=several
developing ^jj+atrb++xvbg+=developing
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
findings ^nns++++=findings
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
34 ^cd++++=34%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
reported ^vbd+vpub++xvbn+=reported
ceasing ^vbg+++xvbg+=ceasing
work ^nn++++=work,
, ^zz++++=EXTRAWORD
with ^in++++=with
regional ^jj+atrb+++=regional
variation ^nn+nom+++=variation
observed ^vbd+vprv++xvbn+=observed:
: ^zz++++=EXTRAWORD
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
in ^in++++=in
East ^np+pl+++=East
Asia ^np++++=Asia
and ^cc++++=and
the ^ati++++=the
Pacific ^jj++++=Pacific,
, ^zz++++=EXTRAWORD
29 ^cd++++=29%
% ^zz++++=EXTRAWORD
in ^in++++=in
Europe ^np++++=Europe
and ^cc++++=and
Central ^jj+atrb+++=Central
Asia ^np++++=Asia,
, ^zz++++=EXTRAWORD
48 ^cd++++=48%
% ^zz++++=EXTRAWORD
in ^in++++=in
Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
Caribbean ^np+nom++??+=Caribbean
( ^zz++++=(LAC),
lac ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
45 ^cd++++=45%
% ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Middle ^jjb++++=Middle
East ^np+pl+++=East
and ^cc++++=and
North ^np+pl+++=North
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
in ^in++++=in
Sub ^nn++++=Sub-Saharan
- ^zz++++=EXTRAWORD
saharan ^jj+atrb+++=EXTRAWORD
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
Lac ^np+++??+=LAC
region ^nn++++=region,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
respondents ^nns++++=respondents
who ^whp+rel+subj++=who
stopped ^vbd+++xvbn+=stopped
working ^jj+++xvbg+=working
was ^vbd+bedz+vrb++=was
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
in ^in++++=in
Chile ^np+++??+=Chile,
, ^zz++++=EXTRAWORD
36 ^cd++++=36%
% ^zz++++=EXTRAWORD
in ^in++++=in
Costa ^np++++=Costa
Rica ^np+++??+=Rica,
, ^zz++++=EXTRAWORD
59 ^cd++++=59%
% ^zz++++=EXTRAWORD
in ^in++++=in
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
69 ^cd++++=69%
% ^zz++++=EXTRAWORD
in ^in++++=in
Bolivia ^np+++??+=Bolivia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
also ^rb++++=also
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
work ^nn++++=work
cessation ^nn+nom+++=cessation
was ^vbd+bedz+vrb++=was
higher ^jjr+pred+++=higher
among ^in++++=among
workers ^nns+nom+++=workers
in ^in++++=in
the ^ati++++=the
services ^nns++++=services
( ^zz++++=(38%)
38 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
industry ^nn++++=industry
( ^zz++++=(40%)
40 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
sectors ^nns++++=sectors
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
in ^in++++=in
agriculture ^nn++++=agriculture
( ^zz++++=(22%).
22% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
