Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
identifying ^jj+atrb++xvbg+=identifying
sub ^nn++++=sub-centralities
- ^zz++++=EXTRAWORD
centralities ^nns+nom+++=EXTRAWORD
enhances ^nns+nom+++=enhances
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
microeconomic ^jj+atrb+++=microeconomic
development ^nn+nom+++=development
issues ^nns++++=issues
by ^in++++=by
linking ^xvbg+++xvbg+=linking
firm ^jj+atrb+++=firm
cost ^nn++++=cost
structures ^nns++++=structures
such ^abl++++=such
as ^ql++++=as
congestion ^nn+nom+++=congestion,
, ^zz++++=EXTRAWORD
labor ^nn++++=labor
force ^nn++++=force
accessibility ^nn+nom+++=accessibility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
land ^nn++++=land
prices ^nns++++=prices
to ^in++++=to
workers ^nns+nom+++=workers
welfare ^nn++++=welfare
and ^cc++++=and
productivity ^nn+nom+++=productivity,
, ^zz++++=EXTRAWORD
including ^in++++=including
factors ^nns++++=factors
like ^in++++=like
spatial ^jj+atrb+++=spatial
segregation ^nn+nom+++=segregation,
, ^zz++++=EXTRAWORD
commuting ^jj+atrb++xvbg+=commuting
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
labor ^nn++++=labor
supply ^nn++++=supply.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
subcenter ^jjr++++=subcenter-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
development ^nn+nom+++=development
( ^zz++++=(SBD)
sbd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
public ^jj+atrb+++=public
policy ^nn++++=policy
can ^md+pos+++=can
stimulate ^nn+nom+++=stimulate
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
new ^jj+atrb+++=new
business ^nns+nom+++=business
subcenters ^nns+nom+++=subcenters,
, ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
congestion ^nn+nom+++=congestion
by ^in++++=by
decreasing ^xvbg+++xvbg+=decreasing
the ^ati++++=the
distance ^nn+nom+++=distance
between ^in++++=between
firms ^nns++++=firms
and ^cc++++=and
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
promote ^vb++++=promote
a ^at++++=a
more ^rbr++++=more
balanced ^jj+atrb++xvbn+=balanced
spatial ^jj+atrb+++=spatial
distribution ^nn+nom+++=distribution
of ^in++++=of
land ^nn++++=land
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inform ^vb++++=inform
the ^ati++++=the
restructuring ^nn++++=restructuring
of ^in++++=of
public ^jj+atrb+++=public
transportation ^nn+nom+++=transportation
and ^cc++++=and
taxation ^nn+nom+++=taxation
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
