It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
species ^nns++++=species
reported ^vbd+vpub++xvbn+=reported
for ^in++++=for
Rio ^np+++??+=Rio
Branco ^np+++??+=Branco
and ^cc++++=and
Xapuri ^np+++??+=Xapuri
may ^md+pos+++=may
differ ^vb++++=differ
from ^in++++=from
the ^ati++++=the
values ^nns++++=values
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
referenced ^jj+atrb++xvbn+=referenced
articles ^nns++++=articles
combined ^vbd+++xvbn+=combined
results ^nns++++=results
for ^in++++=for
both ^abx++++=both
municipalities ^nns+nom+++=municipalities.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
for ^in++++=for
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
article ^nn++++=article,
, ^zz++++=EXTRAWORD
all ^abn++++=all
species ^nns++++=species
records ^vbz+vpub+++=records
were ^vbd+bed+aux++=were
grouped ^vpsv++agls+xvbnx+=grouped
under ^in++++=under
the ^ati++++=the
designation ^nn+nom+++=designation
" ^zz++++="Bujari/Rio
bujari ^nn+++??+=EXTRAWORD
Branco ^np+++??+=Branco/Xapuri"
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
issue ^nn++++=issue
concerning ^in++++=concerning
Psychodopygus ^np+++??+=Psychodopygus
corossoniensis ^nns+++??+=corossoniensis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^rb+down+++=only
record ^nn++++=record
for ^in++++=for
the ^ati++++=the
state ^nn++++=state;
; ^zz++++=EXTRAWORD
the ^ati++++=the
author ^nn++++=author
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify
the ^ati++++=the
municipality ^nn+nom+++=municipality
where ^wrb+who+++=where
the ^ati++++=the
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
only ^rb+down+++=only
the ^ati++++=the
location ^nn+nom+++=location
reference ^nn+nom+++=reference
" ^zz++++="AC
ac ^&fw++++=EXTRAWORD
Highway ^nn++++=Highway
Km ^np+++??+=Km
22 ^cd++++=22."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
the ^ati++++=the
municipality ^nn+nom+++=municipality
for ^in++++=for
this ^dt+dem+++=this
observation ^nn+nom+++=observation
is ^vbz+bez+aux++=is
recorded ^vpsv++agls+xvbn+=recorded
as ^ql++++=as
not ^xnot++not++=not
available ^jj++++=available
( ^zz++++=(NA).
na ^xnot++not++=EXTRAWORD
). ^nn++++=EXTRAWORD
