Statistical ^jj+atrb+++=Statistical
analysis ^nn++++=analysis:
: ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
response ^nn++++=response
curves ^nns++++=curves
were ^vbd+bed+aux++=were
fitted ^vpsv++agls+xvbnx+=fitted
to ^in++++=to
the ^ati++++=the
model ^nn++++=model
of ^in++++=of
Prado ^np+++??+=Prado
and ^cc++++=and
Moraes ^np+++??+=Moraes
( ^zz++++=(1997):
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Ameas ^np+++??+=Ameas
= ^zz++++==
Amax ^np+++??+=Amax
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
e^( ^nn+++??+=e^(-k(PAR
- ^zz++++=EXTRAWORD
k(par ^nn+++??+=EXTRAWORD
Lcp)) ^np+++??+=Lcp))),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Ameas ^np+++??+=Ameas
represents ^vbz++++=represents
the ^ati++++=the
carbon ^nn++++=carbon
assimilation ^nn+nom+++=assimilation
rate ^nn++++=rate
at ^in++++=at
a ^at++++=a
given ^jj+atrb++xvbn+=given
light ^jj+atrb+++=light
intensity ^nn+nom+++=intensity,
, ^zz++++=EXTRAWORD
Amax ^np+++??+=Amax
is ^vbz+bez+vrb++=is
the ^ati++++=the
maximum ^nn++++=maximum
measured ^vbd+++xvbn+=measured
carbon ^nn++++=carbon
assimilation ^nn+nom+++=assimilation
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
k ^zz++++=k
is ^vbz+bez+vrb++=is
a ^at++++=a
constant ^nn++++=constant
determined ^vbd+++xvbn+=determined
for ^in++++=for
each ^dt++++=each
curve ^nn++++=curve,
, ^zz++++=EXTRAWORD
Par ^&fw++++=PAR
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
incident ^nn++++=incident
photosynthetically ^rb++++=photosynthetically
active ^jj+atrb+++=active
radiation ^nn+nom+++=radiation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lcp ^np+++??+=Lcp
is ^vbz+bez+vrb++=is
the ^ati++++=the
light ^nn++++=light
compensation ^nn+nom+++=compensation
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
using ^vbg+++xvbg+=using
Student ^nn++++=Student
s ^zz++++=s
t ^zz++++=t-test,
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbn+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
open ^jj++++=open-source
- ^zz++++=EXTRAWORD
source ^nn++++=EXTRAWORD
software ^nn++++=software
libreoffice ^np++++=LibreOffice.
. ^zz++++=EXTRAWORD
