Epipedobates ^nns+nom++??+=Epipedobates
anthonyi ^nn+++??+=anthonyi
is ^vbz+bez+vrb++=is
a ^at++++=a
frog ^nn+++??+=frog
species ^nns++++=species
endemic ^jj++++=endemic
to ^in++++=to
Peru ^np++++=Peru,
, ^zz++++=EXTRAWORD
Colombia ^np+++??+=Colombia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
notable ^jj++++=notable
for ^in++++=for
the ^ati++++=the
potent ^jj+atrb+++=potent
toxin ^nn+++??+=toxin
present ^vb++++=present
on ^in++++=on
its ^pp$+it+++=its
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
attracted ^vprf+++xvbnx+=attracted
scientific ^jj+atrb+++=scientific
interest ^nn++++=interest
since ^in++++=since
the ^ati++++=the
1970s ^cd+date+++=1970s.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
period ^nn++++=period,
, ^zz++++=EXTRAWORD
chemist ^nn+nom+++=chemist
John ^np++++=John
Daly ^np+++??+=Daly
from ^in++++=from
the ^ati++++=the
Us ^pp1o+pp1+++=US
National ^jj+atrb+++=National
Institutes ^nns++++=Institutes
of ^in++++=of
Health ^nn++++=Health
collected ^vwbn+++xvbn+=collected
skin ^nn++++=skin
samples ^nns++++=samples
of ^in++++=of
this ^dt+dem+++=this
amphibian ^nn++++=amphibian
in ^in++++=in
Ecuador ^np+++??+=Ecuador.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
these ^dt+dem+++=these
samples ^nns++++=samples
were ^vbd+bed+aux++=were
exported ^vpsv++agls+xvbnx+=exported
via ^in++++=via
diplomatic ^jj+atrb+++=diplomatic
channels ^nns++++=channels,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
Ecuadorian ^np+++??+=Ecuadorian
Institute ^nn++++=Institute
of ^in++++=of
Forestry ^nn++++=Forestry
and ^cc++++=and
Natural ^jj+atrb+++=Natural
Areas ^nns++++=Areas
( ^zz++++=(INEFAN,
inefan ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
later ^rbr+tm+++=later
incorporated ^vbd+++xvbn+=incorporated
into ^in++++=into
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Environment ^nn+nom+++=Environment)
) ^zz++++=EXTRAWORD
issued ^vbd+++xvbn+=issued
a ^at++++=a
permit ^nn++++=permit
for ^in++++=for
their ^pp$+pp3+++=their
collection ^nn+nom+++=collection
( ^zz++++=(GRAIN
grain ^nn++++=EXTRAWORD
1998 ^cd+date+++=1998).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Subsequent ^jj+atrb+++=Subsequent
laboratory ^nn++++=laboratory
research ^nn++++=research
led ^vbd+++xvbn+=led
to ^in++++=to
the ^ati++++=the
synthesis ^nn++++=synthesis
of ^in++++=of
epibatidine ^nn+++??+=epibatidine,
, ^zz++++=EXTRAWORD
a ^at++++=a
non ^&fw++++=non-opioid
- ^zz++++=EXTRAWORD
opioid ^nn++++=EXTRAWORD
alkaloid ^nn++++=alkaloid
with ^in++++=with
significant ^jj+atrb+++=significant
pharmaceutical ^jj+atrb+++=pharmaceutical
potential ^nn++++=potential.
. ^zz++++=EXTRAWORD
