There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
no ^at++++=no
standardized ^jj+atrb++xvbn+=standardized
method ^nn++++=method
for ^in++++=for
collecting ^xvbg+++xvbg+=collecting
spiders ^nns+nom+++=spiders,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
complicates ^nns+nom+++=complicates
the ^ati++++=the
comparison ^nn++++=comparison
of ^in++++=of
results ^nns++++=results
across ^in+pl+++=across
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
research ^nn++++=research
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
findings ^nns++++=findings
from ^in++++=from
various ^jj++++=various
other ^ap++++=other
locations ^nns+nom+++=locations.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
identified ^vprf+++xvbnx+=identified
Linyphiidae ^np+++??+=Linyphiidae
and ^cc++++=and
Theridiidae ^np+++??+=Theridiidae
as ^in++++=as
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
abundant ^jj+atrb+++=abundant
spider ^nn++++=spider
families ^nns++++=families
( ^zz++++=(Lopes
lopes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Silva ^np+++??+=Silva
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Breitenbach ^np+++??+=Breitenbach
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
Linyphiidae ^np+++??+=Linyphiidae
Was ^vbd+bedz+aux++=was
Collected ^vbd+++xvbn+=collected
More ^rbr++++=more
Frequently ^rb++++=frequently
In ^in++++=in
The ^ati++++=the
Fa ^nn++++=FA
Treatment ^nn+nom+++=treatment.
 ^zz++++=EXTRAWORD
