Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
tubular ^jj+atrb+++=tubular
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
a ^at++++=a
hyphal ^jj+atrb+++=hyphal
exoperidium ^nn+++??+=exoperidium,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
basidiospores ^nns+++??+=basidiospores
exhibiting ^vwbg+++xvbg+=exhibiting
a ^at++++=a
distinct ^jj+atrb+++=distinct
verrucose ^nn++++=verrucose
ornamentation ^nn+nom+++=ornamentation
( ^zz++++=(Moreno
moreno ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
