First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
Global ^jj+atrb+++=Global
Moran ^np+++??+=Moran
s ^zz++++=s
I ^pp1a+pp1+++=I
test ^nn++++=test
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
reports ^vbz++++=reports
the ^ati++++=the
outcomes ^nns+++??+=outcomes
for ^in++++=for
the ^ati++++=the
employment ^nn+nom+++=employment
variables ^nns++++=variables
using ^vwbg+++xvbg+=using
the ^ati++++=the
previously ^rb+tm+++=previously
discussed ^vbd+++xvbn+=discussed
weighting ^jj+atrb++xvbg+=weighting
matrices ^nns++++=matrices.
. ^zz++++=EXTRAWORD
All ^abn++++=All
results ^nns++++=results
are ^vb+ber+vrb++=are
statistically ^rb++++=statistically
significant ^jj+pred+++=significant
at ^in++++=at
the ^ati++++=the
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
level ^nn++++=level.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tests ^nns++++=tests
consistently ^rb++++=consistently
indicate ^nn+nom+++=indicate
positive ^jj+atrb+++=positive
spatial ^jj+atrb+++=spatial
correlation ^nn+nom+++=correlation,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
employment ^nn+nom+++=employment
levels ^nns++++=levels
are ^vb+ber+aux++=are
spatially ^rb++splt++=spatially
clustered ^vpsv++agls+xvbnx+=clustered
such ^abl++++=such
that ^dt+pdem+++=that
areas ^vbz++++=areas
with ^in++++=with
similar ^jj+atrb+++=similar
employment ^nn+nom+++=employment
levels ^nns++++=levels
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
near ^in+pl+++=near
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^xvbg+++xvbg+=finding
implies ^vbz+vprv+++=implies
that ^tht+vcmp+++=that
the ^ati++++=the
spatial ^jj+atrb+++=spatial
distribution ^nn+nom+++=distribution
of ^in++++=of
Msp ^np+++??+=MSP
employment ^nn+nom+++=employment
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
the ^ati++++=the
concentration ^nn+nom+++=concentration
of ^in++++=of
similar ^jj+atrb+++=similar
employment ^nn+nom+++=employment
levels ^nns++++=levels
in ^in++++=in
neighboring ^jj+atrb+++=neighboring
areas ^nns++++=areas.
. ^zz++++=EXTRAWORD
