Among ^in++++=Among
the ^ati++++=the
various ^jj+atrb+++=various
definitions ^nns+nom+++=definitions
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
definition ^nn+nom+++=definition
adopted ^vbd+++xvbn+=adopted
at ^rb++++=at
this ^dt+dem+++=this
event ^nn++++=event
is ^vbz+bez+vrb++=is
notably ^rb++++=notably
comprehensive ^jj+pred+++=comprehensive,
, ^zz++++=EXTRAWORD
describing ^vbg+++xvbg+=describing
biodiversity ^nn+nom+++=biodiversity
as ^in++++=as
" ^zz++++="the
the ^ati++++=EXTRAWORD
variability ^nn+nom+++=variability
of ^in++++=of
living ^xvbg+++xvbg+=living
organisms ^nns+nom+++=organisms
from ^in++++=from
any ^dti++++=any
source ^nn++++=source,
, ^zz++++=EXTRAWORD
including ^in+strn+++=including,
, ^zz++++=EXTRAWORD
inter ^rb++++=inter
alia ^rb"++++=alia,
, ^zz++++=EXTRAWORD
terrestrial ^jj++++=terrestrial,
, ^zz++++=EXTRAWORD
marine ^jj++++=marine
and ^cc++++=and
other ^ap++++=other
aquatic ^jj+atrb+++=aquatic
ecosystems ^nns+++??+=ecosystems
and ^cc++++=and
the ^ati++++=the
ecological ^jj+atrb+++=ecological
complexes ^nns++++=complexes
of ^in++++=of
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
part ^nn++++=part;
; ^zz++++=EXTRAWORD
this ^dt+dem+++=this
includes ^nn++++=includes
diversity ^nn+nom+++=diversity
within ^in++++=within
species ^nn++++=species,
, ^zz++++=EXTRAWORD
between ^in++++=between
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
ecosystems ^nns++++=ecosystems"
" ^zz++++=EXTRAWORD
( ^zz++++=(United
united ^np++++=EXTRAWORD
nations ^nns+nom+++=Nations
1992:3 ^cd++++=1992:3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
