Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
descriptive ^jj++++=descriptive
and ^cc++++=and
Contrastive ^np+++??+=Contrastive
Interlanguage ^np+nom++??+=Interlanguage
Analysis ^nn++++=Analysis
( ^zz++++=(CIA)
cia ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
research ^nn++++=research
utilizing ^vwbg+++xvbg+=utilizing
data ^nns++++=data
from ^in++++=from
Corifa ^np+++??+=CorIFA
were ^vbd+bed+aux++=were
presented ^vpsv++agls+xvbnx+=presented
to ^to++++=to
demonstrate ^nn+nom+++=demonstrate
the ^ati++++=the
contributions ^nns+nom+++=contributions
the ^ati++++=the
corpus ^nn++++=corpus
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
to ^to+vcmp+++=to
research ^vb++++=research
on ^in++++=on
learner ^nn++++=learner
interlanguage ^nn+nom+++=interlanguage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
studies ^nns++++=studies
referenced ^vbd+++xvbn+=referenced
in ^in++++=in
this ^dt+dem+++=this
paper ^nn++++=paper
support ^nn++++=support
the ^ati++++=the
assertion ^nn+nom+++=assertion
that ^tht+ncmp+++=that
compiling ^nn+nom+++=compiling
and ^cc++++=and
analyzing ^nvbg+++xvbg+=analyzing
a ^at++++=a
learner ^nn++++=learner
corpus ^nn++++=corpus
constitutes ^vbz++++=constitutes
a ^at++++=a
valuable ^jj+atrb+++=valuable
resource ^nn++++=resource
for ^in++++=for
language ^nn+nom+++=language
teachers ^nns+nom+++=teachers
seeking ^vb+++xvbg+=seeking
to ^to+vcmp+++=to
improve ^vbi++++=improve
their ^pp$+pp3+++=their
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
learner ^nn++++=learner
output ^nn++++=output,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
facilitating ^vbg+++xvbg+=facilitating
more ^rbr++++=more
informed ^jj++++=informed
and ^cc+phrs+++=and
effective ^jj+atrb+++=effective
pedagogical ^jj+atrb+++=pedagogical
decision ^nn++++=decision-making.
- ^zz++++=EXTRAWORD
making. ^nn++++=EXTRAWORD
